"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,275","3,240","3,285","3,180","96.68K","1.71%"
"2024- 05- 07","3,220","3,165","3,245","3,160","85.35K","2.06%"
"2024- 05- 03","3,155","3,400","3,695","3,145","845.20K","-2.32%"
"2024- 05- 02","3,230","3,285","3,305","3,230","23.90K","-2.71%"
"2024- 04- 30","3,320","3,210","3,320","3,180","79.95K","3.43%"
"2024- 04- 29","3,210","3,255","3,290","3,180","51.03K","-1.53%"
"2024- 04- 26","3,260","3,275","3,310","3,225","67.16K","0.93%"
"2024- 04- 25","3,230","3,250","3,330","3,230","63.59K","-0.62%"
"2024- 04- 24","3,250","3,385","3,400","3,250","133.49K","-3.99%"
"2024- 04- 23","3,385","3,420","3,435","3,290","65.56K","-1.02%"
"2024- 04- 22","3,420","3,470","3,520","3,240","152.26K","-1.44%"
"2024- 04- 19","3,470","3,460","3,495","3,335","103.49K","-1.14%"
"2024- 04- 18","3,510","3,530","3,530","3,370","135.11K","-0.57%"
"2024- 04- 17","3,530","3,570","3,570","3,425","116.85K","-1.26%"
"2024- 04- 16","3,575","3,520","3,650","3,445","145.55K","-2.05%"
"2024- 04- 15","3,650","3,595","3,685","3,515","74.79K","-1.62%"
"2024- 04- 12","3,710","3,750","3,790","3,580","113.89K","-1.07%"
"2024- 04- 11","3,750","3,640","3,750","3,510","90.82K","3.16%"
"2024- 04- 09","3,635","3,615","3,635","3,525","116.10K","0.97%"
"2024- 04- 08","3,600","3,570","3,625","3,465","157.96K","0.98%"
"2024- 04- 05","3,565","3,420","3,585","3,420","154.45K","3.03%"
"2024- 04- 04","3,460","3,505","3,505","3,360","58.38K","1.17%"
"2024- 04- 03","3,420","3,490","3,510","3,175","193.65K","-2.01%"
"2024- 04- 02","3,490","3,630","3,650","3,355","91.71K","-1.13%"
"2024- 04- 01","3,530","3,285","3,550","3,255","175.55K","8.45%"
"2024- 03- 29","3,255","3,480","3,480","3,240","153.59K","-7.00%"
"2024- 03- 28","3,500","3,425","3,575","3,340","115.40K","2.04%"
"2024- 03- 27","3,430","3,370","3,450","3,260","72.32K","1.78%"
"2024- 03- 26","3,370","3,245","3,430","3,230","104.94K","1.20%"
"2024- 03- 25","3,330","3,305","3,340","3,220","99.33K","0.76%"
"2024- 03- 22","3,305","3,365","3,365","3,260","16.78K","-1.78%"
"2024- 03- 21","3,365","3,360","3,370","3,200","61.26K","0.15%"
"2024- 03- 20","3,360","3,190","3,375","3,125","78.37K","5.33%"
"2024- 03- 19","3,190","3,285","3,335","3,135","217.42K","-3.04%"
"2024- 03- 18","3,290","3,285","3,330","3,145","119.52K","0.92%"
"2024- 03- 15","3,260","3,285","3,355","3,230","2.67K","-2.98%"
"2024- 03- 14","3,360","3,315","3,390","3,170","57.52K","1.20%"
"2024- 03- 13","3,320","3,420","3,495","3,230","147.43K","-2.92%"
"2024- 03- 12","3,420","3,420","3,445","3,330","84.45K","0.00%"
"2024- 03- 11","3,420","3,580","3,580","3,405","102.01K","-4.47%"
"2024- 03- 08","3,580","3,585","3,640","3,405","156.39K","-0.83%"
"2024- 03- 07","3,610","3,500","3,660","3,460","199.18K","3.74%"
"2024- 03- 06","3,480","3,365","3,495","3,365","94.47K","2.35%"
"2024- 03- 05","3,400","3,540","3,735","3,395","143.83K","-2.86%"
"2024- 03- 04","3,500","3,550","3,570","3,465","0.00K","-3.45%"
"2024- 02- 29","3,625","3,655","3,655","3,355","87.12K","-0.96%"
"2024- 02- 28","3,660","3,695","3,790","3,605","132.04K","-1.21%"
"2024- 02- 27","3,705","3,715","3,760","3,560","149.96K","-0.13%"
"2024- 02- 26","3,710","3,660","3,770","3,550","249.29K","2.06%"
"2024- 02- 23","3,635","3,420","3,650","3,370","535.60K","6.44%"
"2024- 02- 22","3,415","3,300","3,430","3,290","221.90K","3.48%"
"2024- 02- 21","3,300","3,365","3,435","3,250","350.34K","-1.93%"
"2024- 02- 20","3,365","3,240","3,395","3,075","0.07K","5.82%"
"2024- 02- 19","3,180","3,200","3,245","3,160","75.44K","-0.63%"
"2024- 02- 16","3,200","3,195","3,215","3,110","72.79K","0.31%"
"2024- 02- 15","3,190","3,145","3,200","3,120","0.01K","2.08%"
"2024- 02- 14","3,125","3,085","3,205","2,995","184.26K","3.65%"
"2024- 02- 13","3,015","2,925","3,045","2,915","81.08K","3.08%"
"2024- 02- 08","2,925","2,945","2,975","2,900","45.64K","-0.68%"
"2024- 02- 07","2,945","2,940","2,975","2,880","47.07K","1.55%"
"2024- 02- 06","2,900","3,015","3,050","2,900","61.91K","-3.01%"
"2024- 02- 05","2,990","2,935","3,025","2,930","48.60K","1.01%"
"2024- 02- 02","2,960","2,920","3,010","2,915","82.09K","1.37%"
"2024- 02- 01","2,920","2,910","3,000","2,860","132.50K","-0.17%"
"2024- 01- 31","2,925","3,050","3,050","2,925","0.03K","-3.31%"
"2024- 01- 30","3,025","3,065","3,095","3,000","128.16K","0.00%"
"2024- 01- 29","3,025","3,125","3,135","2,990","229.66K","-2.42%"
"2024- 01- 26","3,100","3,125","3,250","3,095","273.47K","-0.96%"
"2024- 01- 25","3,130","3,245","3,310","3,110","0.10K","-5.30%"
"2024- 01- 24","3,305","3,545","4,105","3,305","11.78M","-4.20%"
"2024- 01- 23","3,450","3,340","3,830","3,210","0.08K","5.34%"
"2024- 01- 22","3,275","3,285","3,395","3,240","32.37K","-0.30%"
"2024- 01- 19","3,285","3,395","3,430","3,285","50.89K","0.00%"
"2024- 01- 18","3,285","3,270","3,430","3,225","43.25K","-0.45%"
"2024- 01- 17","3,300","3,410","3,455","3,220","61.91K","-3.23%"
"2024- 01- 16","3,410","3,475","3,475","3,340","37.46K","-1.30%"
"2024- 01- 15","3,455","3,475","3,505","3,380","51.50K","-1.00%"
"2024- 01- 12","3,490","3,595","3,595","3,480","42.73K","-2.92%"
"2024- 01- 11","3,595","3,650","3,680","3,535","34.73K","-1.51%"
"2024- 01- 10","3,650","3,545","3,680","3,500","69.96K","1.96%"
"2024- 01- 09","3,580","3,585","3,655","3,470","41.27K","-0.14%"
"2024- 01- 08","3,585","3,425","3,760","3,425","315.36K","4.82%"
"2024- 01- 05","3,420","3,450","3,590","3,420","47.62K","-1.87%"
"2024- 01- 04","3,485","3,505","3,620","3,430","53.08K","-0.29%"
"2024- 01- 03","3,495","3,445","3,540","3,410","47.43K","0.58%"
"2024- 01- 02","3,475","3,475","3,500","3,400","55.20K","0.00%"
