"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","68,800","84,000","87,000","66,000","419.52K","-14.43%"
"2024- 05- 07","80,400","70,000","83,500","69,900","398.40K","16.02%"
"2024- 05- 03","69,300","67,100","69,600","65,700","51.93K","4.37%"
"2024- 05- 02","66,400","68,000","68,300","66,400","27.98K","-2.64%"
"2024- 04- 30","68,200","65,400","69,200","65,000","49.25K","3.33%"
"2024- 04- 29","66,000","67,000","67,000","64,900","41.30K","-1.64%"
"2024- 04- 26","67,100","68,100","69,100","66,200","52.02K","-0.59%"
"2024- 04- 25","67,500","69,500","70,300","67,000","51.92K","-2.88%"
"2024- 04- 24","69,500","65,000","70,000","63,500","152.74K","9.11%"
"2024- 04- 23","63,700","62,400","64,700","62,300","42.75K","2.25%"
"2024- 04- 22","62,300","59,900","63,100","59,900","30.05K","1.96%"
"2024- 04- 19","61,100","60,700","62,600","59,000","53.01K","0.66%"
"2024- 04- 18","60,700","58,100","62,400","57,700","39.28K","2.71%"
"2024- 04- 17","59,100","57,900","60,300","57,500","27.81K","1.55%"
"2024- 04- 16","58,200","60,000","60,000","57,900","38.39K","-3.64%"
"2024- 04- 15","60,400","61,300","61,300","59,700","31.56K","-3.21%"
"2024- 04- 12","62,400","60,100","64,300","59,400","66.89K","3.83%"
"2024- 04- 11","60,100","59,400","60,500","58,400","24.57K","0.17%"
"2024- 04- 09","60,000","59,800","61,000","58,400","32.73K","0.00%"
"2024- 04- 08","60,000","61,500","63,500","58,100","107.03K","-2.28%"
"2024- 04- 05","61,400","61,100","62,200","60,000","60.19K","-1.13%"
"2024- 04- 04","62,100","64,200","66,200","62,000","71.63K","-3.27%"
"2024- 04- 03","64,200","68,300","68,300","62,000","114.29K","-5.59%"
"2024- 04- 02","68,000","66,900","68,500","62,800","92.05K","3.03%"
"2024- 04- 01","66,000","68,100","68,500","65,700","80.90K","-2.80%"
"2024- 03- 29","67,900","68,900","72,100","67,600","141.40K","-0.44%"
"2024- 03- 28","68,200","70,200","71,400","67,000","183.89K","0.00%"
"2024- 03- 27","68,200","63,700","74,500","63,500","353.84K","4.12%"
"2024- 03- 26","65,500","67,400","69,100","65,100","182.55K","-3.53%"
"2024- 03- 25","67,900","67,800","72,700","61,700","763.70K","-0.73%"
"2024- 03- 22","68,400","92,300","94,900","68,100","3.01M","-29.63%"
"2024- 03- 21","97,200","93,300","103,400","91,300","340.20K","0.62%"
"2024- 03- 20","96,600","97,100","110,000","96,200","957.23K","4.32%"
"2024- 03- 19","92,600","77,300","98,000","74,500","1.81M","21.68%"
"2024- 03- 18","76,100","76,100","76,100","72,000","339.59K","0.00%"
"2024- 03- 15","76,100","76,100","76,100","58,500","274.52K","17.08%"
"2024- 03- 14","65,000","51,300","65,000","51,300","0.42K","30.00%"
"2024- 03- 13","50,000","50,100","50,600","49,600","26.85K","-0.20%"
"2024- 03- 12","50,100","51,000","51,900","49,750","27.80K","-2.53%"
"2024- 03- 11","51,400","50,900","53,200","50,900","0.01K","0.98%"
"2024- 03- 10","50,900","50,900","50,900","50,900","","0.00%"
"2024- 03- 08","50,900","50,200","51,400","49,700","28.70K","1.80%"
"2024- 03- 07","50,000","50,800","51,400","49,700","0.01K","-0.60%"
"2024- 03- 06","50,300","50,300","51,900","49,300","29.09K","-0.20%"
"2024- 03- 05","50,400","49,250","51,700","49,250","38.86K","2.44%"
"2024- 03- 04","49,200","49,900","50,400","49,050","21.16K","-0.91%"
"2024- 02- 29","49,650","52,700","52,700","49,200","50.96K","-4.34%"
"2024- 02- 28","51,900","51,300","53,100","50,900","32.67K","2.98%"
"2024- 02- 27","50,400","54,300","54,300","50,400","40.10K","-6.15%"
"2024- 02- 26","53,700","50,600","54,200","50,000","0.02K","7.19%"
"2024- 02- 23","50,100","50,700","51,700","49,550","54.01K","-0.79%"
"2024- 02- 22","50,500","50,900","51,700","49,950","23.08K","-0.20%"
"2024- 02- 21","50,600","50,900","51,300","49,900","46.79K","-2.32%"
"2024- 02- 20","51,800","54,200","54,200","51,200","29.81K","-3.00%"
"2024- 02- 19","53,400","52,700","55,000","51,900","40.39K","2.50%"
"2024- 02- 18","52,100","52,100","52,100","52,100","","0.00%"
"2024- 02- 16","52,100","52,900","53,500","50,900","27.48K","0.77%"
"2024- 02- 15","51,700","53,100","53,100","51,400","23.12K","0.98%"
"2024- 02- 14","51,200","50,500","51,500","49,500","34.02K","-1.92%"
"2024- 02- 13","52,200","49,900","53,500","49,750","50.88K","7.74%"
"2024- 02- 08","48,450","48,900","48,900","47,150","22.20K","0.00%"
"2024- 02- 07","48,450","47,550","48,600","47,250","26.63K","2.65%"
"2024- 02- 06","47,200","46,600","47,450","45,550","35.38K","1.07%"
"2024- 02- 05","46,700","49,000","49,000","46,500","30.58K","-3.81%"
