"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,550","8,470","8,720","8,390","28.34K","1.30%"
"2024- 05- 07","8,440","8,300","8,580","8,280","42.16K","1.93%"
"2024- 05- 03","8,280","8,140","8,300","8,090","20.44K","1.72%"
"2024- 05- 02","8,140","8,140","8,300","8,070","15.64K","0.25%"
"2024- 04- 30","8,120","8,240","8,320","8,060","31.44K","-1.46%"
"2024- 04- 29","8,240","8,190","8,310","8,100","28.92K","0.00%"
"2024- 04- 26","8,240","8,260","8,320","8,100","29.52K","-0.12%"
"2024- 04- 25","8,250","8,150","8,330","8,120","27.14K","1.60%"
"2024- 04- 24","8,120","8,250","8,400","8,080","46.92K","-1.58%"
"2024- 04- 23","8,250","8,400","9,230","8,080","161.59K","-0.60%"
"2024- 04- 22","8,300","7,790","8,390","7,790","61.33K","5.73%"
"2024- 04- 19","7,850","7,980","8,200","7,750","53.34K","-1.63%"
"2024- 04- 18","7,980","7,790","7,990","7,740","13.75K","1.40%"
"2024- 04- 17","7,870","7,850","8,000","7,750","21.09K","0.38%"
"2024- 04- 16","7,840","8,110","8,110","7,720","46.65K","-3.33%"
"2024- 04- 15","8,110","7,980","8,150","7,960","16.10K","0.62%"
"2024- 04- 12","8,060","7,950","8,190","7,950","29.83K","1.13%"
"2024- 04- 11","7,970","7,800","8,450","7,800","63.10K","2.44%"
"2024- 04- 09","7,780","7,870","7,930","7,730","21.31K","-1.14%"
"2024- 04- 08","7,870","8,030","8,030","7,650","36.12K","-1.38%"
"2024- 04- 05","7,980","7,960","8,040","7,860","20.87K","0.25%"
"2024- 04- 04","7,960","8,010","8,180","7,900","53.30K","-2.09%"
"2024- 04- 03","8,130","7,930","8,400","7,680","96.94K","2.52%"
"2024- 04- 02","7,930","8,780","8,840","7,860","196.08K","-10.70%"
"2024- 04- 01","8,880","8,800","8,890","8,640","38.79K","2.78%"
"2024- 03- 29","8,640","9,000","9,080","8,600","81.36K","-3.46%"
"2024- 03- 28","8,950","9,540","9,540","8,950","146.74K","-6.28%"
"2024- 03- 27","9,550","9,300","9,720","9,130","270.74K","5.18%"
"2024- 03- 26","9,080","9,110","9,170","8,900","84.61K","-1.20%"
"2024- 03- 25","9,190","9,090","9,350","9,000","73.84K","-0.11%"
"2024- 03- 22","9,200","9,120","9,720","8,940","216.20K","1.43%"
"2024- 03- 21","9,070","9,180","9,340","8,940","110.82K","-1.20%"
"2024- 03- 20","9,180","8,570","9,500","8,460","354.58K","8.00%"
"2024- 03- 19","8,500","8,340","8,630","8,190","152.08K","3.03%"
"2024- 03- 18","8,250","8,540","8,540","8,060","143.19K","-3.51%"
"2024- 03- 15","8,550","8,700","8,790","8,180","169.16K","-3.06%"
"2024- 03- 14","8,820","8,980","9,040","8,700","103.31K","-3.50%"
"2024- 03- 13","9,140","8,850","9,310","8,470","290.31K","3.63%"
"2024- 03- 12","8,820","9,370","9,520","8,710","492.79K","-5.06%"
"2024- 03- 11","9,290","7,720","9,890","7,560","2.00M","22.08%"
"2024- 03- 10","7,610","7,610","7,610","7,610","","0.00%"
"2024- 03- 08","7,610","7,600","8,000","7,330","349.17K","-0.52%"
"2024- 03- 07","7,650","6,560","8,560","6,500","2.95M","16.08%"
"2024- 03- 06","6,590","6,440","6,930","6,350","122.23K","2.33%"
"2024- 03- 05","6,440","6,480","6,510","6,280","68.56K","-2.42%"
"2024- 03- 04","6,600","6,660","6,800","6,440","65.84K","-0.90%"
"2024- 02- 29","6,660","6,740","6,830","6,540","91.41K","-1.19%"
"2024- 02- 28","6,740","6,940","6,940","6,650","49.65K","-1.89%"
"2024- 02- 27","6,870","6,850","7,070","6,640","135.33K","-2.00%"
"2024- 02- 26","7,010","7,150","7,290","6,900","93.82K","-1.96%"
"2024- 02- 23","7,150","7,760","7,900","7,090","228.49K","-8.45%"
"2024- 02- 22","7,810","7,890","7,890","7,710","27.88K","-1.01%"
"2024- 02- 21","7,890","7,930","8,000","7,530","49.29K","-1.38%"
"2024- 02- 20","8,000","7,990","8,100","7,800","26.82K","0.38%"
"2024- 02- 19","7,970","7,820","8,100","7,800","42.23K","1.92%"
"2024- 02- 16","7,820","7,640","7,900","7,530","27.38K","2.49%"
"2024- 02- 15","7,630","7,600","7,690","7,460","45.60K","0.39%"
"2024- 02- 14","7,600","7,970","7,970","7,580","79.33K","-4.52%"
"2024- 02- 13","7,960","8,020","8,290","7,900","68.31K","-0.38%"
"2024- 02- 08","7,990","8,040","8,080","7,900","34.51K","-0.62%"
"2024- 02- 07","8,040","8,040","8,100","7,950","20.75K","0.00%"
"2024- 02- 06","8,040","7,970","8,210","7,840","39.85K","0.88%"
"2024- 02- 05","7,970","8,070","8,200","7,900","21.42K","-1.97%"
"2024- 02- 02","8,130","7,900","8,170","7,890","43.34K","2.01%"
"2024- 02- 01","7,970","8,110","8,360","7,880","84.26K","-4.78%"
"2024- 01- 31","8,370","8,590","8,650","8,070","68.15K","-2.56%"
"2024- 01- 30","8,590","8,640","8,700","8,430","32.72K","-0.58%"
"2024- 01- 29","8,640","8,750","8,840","8,450","49.83K","-2.59%"
