"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,994","1,999","1,999","1,950","0.99K","-0.05%"
"2024- 05- 07","1,995","2,020","2,020","1,950","3.68K","-0.75%"
"2024- 05- 03","2,010","2,095","2,095","1,950","0.50K","0.60%"
"2024- 05- 02","1,998","2,000","2,010","1,988","3.88K","-0.35%"
"2024- 04- 30","2,005","1,940","2,030","1,910","5.74K","3.14%"
"2024- 04- 29","1,944","1,800","1,999","1,800","4.01K","2.32%"
"2024- 04- 26","1,900","1,750","1,900","1,716","26.31K","-4.52%"
"2024- 04- 25","1,990","1,991","1,991","1,950","0.66K","-0.10%"
"2024- 04- 24","1,992","1,999","1,999","1,980","0.26K","0.05%"
"2024- 04- 23","1,991","2,000","2,000","1,970","0.61K","-0.35%"
"2024- 04- 22","1,998","2,000","2,000","1,930","1.72K","1.06%"
"2024- 04- 19","1,977","1,811","2,180","1,811","4.46K","-0.40%"
"2024- 04- 18","1,985","2,000","2,000","1,900","1.09K","1.28%"
"2024- 04- 17","1,960","1,999","1,999","1,900","0.21K","3.16%"
"2024- 04- 16","1,900","2,000","2,000","1,962","0.27K","-3.16%"
"2024- 04- 15","1,962","1,999","1,999","1,950","2.47K","-1.90%"
"2024- 04- 12","2,000","1,930","2,090","1,903","0.85K","3.63%"
"2024- 04- 11","1,930","2,100","2,100","1,950","1.93K","-4.93%"
"2024- 04- 09","2,030","2,100","2,100","1,950","1.80K","1.50%"
"2024- 04- 08","2,000","2,045","2,045","1,945","2.44K","-2.20%"
"2024- 04- 05","2,045","2,090","2,090","2,000","2.16K","0.00%"
"2024- 04- 04","2,045","2,090","2,090","2,000","3.18K","-1.92%"
"2024- 04- 03","2,085","2,095","2,095","2,015","7.15K","3.22%"
"2024- 04- 02","2,020","1,999","2,095","1,995","4.66K","1.05%"
"2024- 04- 01","1,999","1,999","2,000","1,975","2.19K","1.01%"
"2024- 03- 29","1,979","1,900","2,050","1,800","1.04K","8.74%"
"2024- 03- 28","1,820","1,850","1,899","1,723","6.94K","-4.21%"
"2024- 03- 27","1,900","1,824","1,989","1,721","8.70K","4.17%"
"2024- 03- 26","1,824","1,895","1,895","1,800","5.34K","-3.85%"
"2024- 03- 25","1,897","1,998","1,999","1,813","6.41K","-1.66%"
"2024- 03- 22","1,929","1,910","1,979","1,890","5.10K","-2.53%"
"2024- 03- 21","1,979","2,095","2,095","1,920","5.51K","-2.03%"
"2024- 03- 20","2,020","2,100","2,100","1,920","3.38K","-3.12%"
"2024- 03- 19","2,085","2,090","2,090","1,932","1.04K","1.96%"
"2024- 03- 18","2,045","2,200","2,240","1,900","6.37K","-3.31%"
"2024- 03- 15","2,115","2,060","2,190","2,030","3.78K","-2.53%"
"2024- 03- 14","2,170","2,300","2,350","2,040","6.64K","-3.56%"
"2024- 03- 13","2,250","2,385","2,385","2,070","4.59K","-0.22%"
