"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,790","5,820","5,860","5,740","102.21K","-0.52%"
"2024- 05- 07","5,820","5,840","5,930","5,800","117.87K","0.17%"
"2024- 05- 03","5,810","5,930","5,950","5,780","153.60K","-1.19%"
"2024- 05- 02","5,880","5,830","5,950","5,830","83.34K","-0.17%"
"2024- 04- 30","5,890","5,830","5,970","5,800","193.84K","1.20%"
"2024- 04- 29","5,820","5,830","5,890","5,790","140.45K","1.22%"
"2024- 04- 26","5,750","5,740","5,870","5,730","129.10K","-0.69%"
"2024- 04- 25","5,790","5,790","5,810","5,720","72.81K","0.17%"
"2024- 04- 24","5,780","5,780","5,840","5,730","97.40K","0.00%"
"2024- 04- 23","5,780","5,710","5,830","5,650","192.53K","1.94%"
"2024- 04- 22","5,670","5,560","5,730","5,560","137.18K","2.16%"
"2024- 04- 19","5,550","5,650","5,740","5,500","154.96K","-2.97%"
"2024- 04- 18","5,720","5,500","5,730","5,480","180.24K","3.06%"
"2024- 04- 17","5,550","5,400","5,550","5,400","147.50K","2.78%"
"2024- 04- 16","5,400","5,430","5,530","5,320","256.26K","-2.00%"
"2024- 04- 15","5,510","5,580","5,640","5,510","277.98K","-3.16%"
"2024- 04- 12","5,690","5,550","5,740","5,550","184.55K","2.15%"
"2024- 04- 11","5,570","5,520","5,580","5,440","172.02K","-0.18%"
"2024- 04- 09","5,580","5,580","5,640","5,540","178.78K","0.00%"
"2024- 04- 08","5,580","5,710","5,720","5,550","222.60K","-1.41%"
"2024- 04- 05","5,660","5,710","5,780","5,560","380.35K","-2.08%"
"2024- 04- 04","5,780","5,880","5,950","5,710","297.42K","-1.53%"
"2024- 04- 03","5,870","6,030","6,040","5,820","427.87K","-2.65%"
"2024- 04- 02","6,030","6,480","6,490","5,980","758.94K","-6.37%"
"2024- 04- 01","6,440","6,280","6,440","6,270","329.45K","3.04%"
"2024- 03- 29","6,250","6,290","6,410","6,220","448.04K","0.00%"
"2024- 03- 28","6,250","6,470","6,480","6,180","813.40K","-2.50%"
"2024- 03- 27","6,410","6,750","6,750","6,410","711.23K","-4.47%"
"2024- 03- 26","6,710","6,730","6,780","6,630","673.34K","0.45%"
"2024- 03- 25","6,680","6,550","6,850","6,500","966.70K","1.98%"
"2024- 03- 22","6,550","6,710","6,710","6,480","866.11K","-2.67%"
"2024- 03- 21","6,730","6,660","6,830","6,580","1.17M","0.15%"
"2024- 03- 20","6,720","6,610","7,320","6,570","8.29M","4.35%"
"2024- 03- 19","6,440","6,690","6,770","6,370","1.94M","-1.53%"
"2024- 03- 18","6,540","6,030","6,930","5,960","8.51M","11.04%"
"2024- 03- 15","5,890","6,110","6,160","5,860","502.23K","-3.76%"
"2024- 03- 14","6,120","6,290","6,300","6,080","0.32K","-2.24%"
"2024- 03- 13","6,260","6,220","6,300","6,070","0.01K","1.13%"
"2024- 03- 12","6,190","6,150","6,260","6,010","887.81K","0.00%"
"2024- 03- 11","6,190","5,690","6,450","5,660","0.31K","9.56%"
"2024- 03- 10","5,650","5,650","5,650","5,650","","0.00%"
"2024- 03- 08","5,650","5,410","5,670","5,410","298.17K","4.63%"
"2024- 03- 07","5,400","5,560","5,570","5,370","167.71K","-2.17%"
"2024- 03- 06","5,520","5,310","5,580","5,310","301.01K","2.60%"
"2024- 03- 05","5,380","5,450","5,490","5,370","0.03K","-1.28%"
"2024- 03- 04","5,450","5,430","5,520","5,420","0.00K","0.93%"
"2024- 03- 03","5,400","5,400","5,400","5,400","","0.00%"
"2024- 02- 29","5,400","5,450","5,480","5,390","162.91K","-1.28%"
"2024- 02- 28","5,470","5,430","5,560","5,430","0.02K","0.55%"
"2024- 02- 27","5,440","5,540","5,550","5,440","0.00K","-1.81%"
"2024- 02- 26","5,540","5,690","5,710","5,520","264.75K","-2.46%"
"2024- 02- 23","5,680","5,750","5,760","5,620","263.87K","-0.18%"
"2024- 02- 22","5,690","5,710","5,780","5,660","241.30K","-0.18%"
"2024- 02- 21","5,700","5,750","5,770","5,690","164.42K","-1.04%"
"2024- 02- 20","5,760","5,810","5,810","5,700","0.00K","0.00%"
"2024- 02- 19","5,760","5,670","5,800","5,660","0.05K","1.95%"
"2024- 02- 16","5,650","5,700","5,700","5,600","144.38K","-0.18%"
"2024- 02- 15","5,660","5,710","5,750","5,650","169.04K","-0.70%"
"2024- 02- 14","5,700","5,730","5,730","5,580","174.16K","-0.52%"
"2024- 02- 13","5,730","5,750","5,790","5,650","0.19K","0.88%"
"2024- 02- 12","5,680","5,680","5,680","5,680","","0.00%"
"2024- 02- 08","5,680","5,720","5,730","5,650","110.45K","0.00%"
"2024- 02- 07","5,680","5,750","5,790","5,670","0.00K","-1.39%"
"2024- 02- 06","5,760","5,820","5,840","5,710","205.09K","-0.52%"
"2024- 02- 05","5,790","5,800","5,950","5,740","246.31K","-0.17%"
"2024- 02- 02","5,800","5,680","5,950","5,650","454.25K","1.75%"
"2024- 02- 01","5,700","5,700","5,770","5,620","239.92K","-0.18%"
"2024- 01- 31","5,710","5,760","5,810","5,630","0.01K","-0.70%"
"2024- 01- 30","5,750","5,730","5,850","5,720","157.89K","-0.17%"
"2024- 01- 29","5,760","5,700","5,880","5,690","0.00K","1.41%"
"2024- 01- 26","5,680","5,550","5,730","5,540","119.53K","1.43%"
"2024- 01- 25","5,600","5,670","5,700","5,510","0.04K","-1.23%"
"2024- 01- 24","5,670","5,850","5,850","5,670","278.82K","-3.08%"
"2024- 01- 23","5,850","5,710","5,940","5,620","295.33K","2.45%"
"2024- 01- 22","5,710","5,700","5,780","5,670","207.74K","0.35%"
"2024- 01- 19","5,690","5,750","5,850","5,610","221.52K","-0.87%"
"2024- 01- 18","5,740","5,750","5,900","5,670","268.04K","-0.86%"
"2024- 01- 17","5,790","6,010","6,040","5,730","423.70K","-4.30%"
"2024- 01- 16","6,050","6,080","6,200","5,980","0.03K","-1.14%"
"2024- 01- 15","6,120","6,030","6,340","5,940","523.31K","0.49%"
"2024- 01- 14","6,090","6,090","6,090","6,090","","0.00%"
"2024- 01- 12","6,090","6,200","6,280","6,050","367.11K","-2.25%"
"2024- 01- 11","6,230","6,140","6,280","6,120","275.80K","1.80%"
"2024- 01- 10","6,120","6,270","6,290","6,090","0.00K","-2.86%"
"2024- 01- 09","6,300","6,060","6,470","6,060","799.08K","4.83%"
"2024- 01- 08","6,010","6,080","6,170","6,000","277.61K","-0.99%"
"2024- 01- 07","6,070","6,070","6,070","6,070","","0.00%"
"2024- 01- 05","6,070","6,180","6,290","6,020","327.75K","-2.10%"
"2024- 01- 04","6,200","6,310","6,340","6,140","0.03K","-3.13%"
"2024- 01- 03","6,400","6,330","6,480","6,210","0.14K","2.73%"
"2024- 01- 02","6,230","6,070","6,290","6,020","6.35K","2.64%"
