"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,510","6,580","6,610","6,510","5.19K","-1.21%"
"2024- 05- 07","6,590","6,570","6,600","6,530","3.49K","0.15%"
"2024- 05- 03","6,580","6,530","6,600","6,500","6.45K","-0.15%"
"2024- 05- 02","6,590","6,530","6,600","6,530","1.79K","0.15%"
"2024- 04- 30","6,580","6,580","6,640","6,510","5.74K","0.15%"
"2024- 04- 29","6,570","6,570","6,650","6,520","4.62K","-0.61%"
"2024- 04- 26","6,610","6,600","6,620","6,550","2.66K","0.15%"
"2024- 04- 25","6,600","6,600","6,670","6,550","7.44K","-0.30%"
"2024- 04- 24","6,620","6,690","6,790","6,420","16.16K","-1.05%"
"2024- 04- 23","6,690","6,650","6,690","6,600","5.24K","0.60%"
"2024- 04- 22","6,650","6,730","6,730","6,590","8.25K","-1.19%"
"2024- 04- 19","6,730","6,850","6,880","6,640","4.19K","-1.17%"
"2024- 04- 18","6,810","6,850","6,870","6,780","4.39K","-0.44%"
"2024- 04- 17","6,840","6,790","6,890","6,690","4.36K","0.29%"
"2024- 04- 16","6,820","6,800","6,830","6,420","10.58K","-0.15%"
"2024- 04- 15","6,830","6,950","6,960","6,790","4.71K","-1.01%"
"2024- 04- 12","6,900","7,020","7,140","6,900","3.51K","-1.43%"
"2024- 04- 11","7,000","6,990","7,010","6,810","4.98K","0.14%"
"2024- 04- 09","6,990","6,810","7,030","6,810","4.12K","2.49%"
"2024- 04- 08","6,820","7,080","7,140","6,820","6.27K","-3.26%"
"2024- 04- 05","7,050","7,100","7,140","7,000","4.77K","-0.14%"
"2024- 04- 04","7,060","7,030","7,120","6,960","5.91K","0.57%"
"2024- 04- 03","7,020","7,110","7,110","6,970","3.63K","-0.85%"
"2024- 04- 02","7,080","7,110","7,150","7,030","5.42K","-0.42%"
"2024- 04- 01","7,110","7,100","7,140","7,030","6.43K","0.14%"
"2024- 03- 29","7,100","7,140","7,140","6,990","4.68K","-0.56%"
"2024- 03- 28","7,140","7,110","7,160","7,100","2.07K","0.42%"
"2024- 03- 27","7,110","6,870","7,110","6,810","10.24K","3.80%"
"2024- 03- 26","6,850","6,880","6,950","6,840","7.04K","0.00%"
"2024- 03- 25","6,850","6,850","6,870","6,780","5.32K","0.00%"
"2024- 03- 22","6,850","6,890","6,960","6,830","7.31K","0.00%"
"2024- 03- 21","6,850","6,810","6,970","6,810","9.34K","0.74%"
"2024- 03- 20","6,800","6,990","6,990","6,800","7.92K","-2.16%"
"2024- 03- 19","6,950","7,000","7,000","6,900","1.10K","-0.43%"
"2024- 03- 18","6,980","6,980","7,010","6,940","3.03K","0.00%"
"2024- 03- 15","6,980","6,990","7,070","6,940","9.71K","-0.14%"
"2024- 03- 14","6,990","7,040","7,100","6,950","8.75K","-0.14%"
"2024- 03- 13","7,000","7,080","7,150","6,900","12.00K","-1.13%"
"2024- 03- 12","7,080","6,850","7,250","6,820","15.26K","3.66%"
"2024- 03- 11","6,830","6,820","6,840","6,750","6.03K","0.15%"
"2024- 03- 08","6,820","6,900","6,900","6,760","9.92K","-1.16%"
"2024- 03- 07","6,900","6,920","6,920","6,800","20.58K","-0.29%"
"2024- 03- 06","6,920","7,000","7,060","6,870","13.75K","0.29%"
"2024- 03- 05","6,900","7,220","7,280","6,880","39.49K","-3.63%"
"2024- 03- 04","7,160","7,200","7,290","7,150","7.07K","-1.24%"
"2024- 02- 29","7,250","7,250","7,300","7,150","13.53K","-0.28%"
"2024- 02- 28","7,270","7,270","7,300","7,120","19.80K","0.00%"
"2024- 02- 27","7,270","7,270","7,310","7,200","10.53K","0.00%"
"2024- 02- 26","7,270","7,300","7,300","7,190","7.60K","0.00%"
"2024- 02- 23","7,270","7,270","7,350","7,250","6.64K","0.00%"
"2024- 02- 22","7,270","7,310","7,350","7,210","11.06K","-0.27%"
"2024- 02- 21","7,290","7,290","7,320","7,250","8.90K","0.28%"
"2024- 02- 20","7,270","7,300","7,340","7,250","11.03K","-0.41%"
"2024- 02- 19","7,300","7,350","7,380","7,250","7.17K","-0.68%"
"2024- 02- 16","7,350","7,330","7,390","7,290","11.40K","-0.41%"
"2024- 02- 15","7,380","7,440","7,440","7,330","9.57K","-0.81%"
"2024- 02- 14","7,440","7,390","7,440","7,290","8.59K","0.54%"
"2024- 02- 13","7,400","7,440","7,440","7,290","24.09K","-0.27%"
"2024- 02- 08","7,420","7,420","7,440","7,310","13.83K","0.27%"
"2024- 02- 07","7,400","7,400","7,440","7,340","3.74K","0.00%"
"2024- 02- 06","7,400","7,420","7,450","7,270","9.40K","-0.27%"
"2024- 02- 05","7,420","7,450","7,460","7,300","6.46K","0.41%"
"2024- 02- 02","7,390","7,340","7,450","7,340","7.00K","1.79%"
"2024- 02- 01","7,260","7,500","7,500","7,250","26.39K","-3.33%"
"2024- 01- 31","7,510","7,650","7,680","7,470","8.20K","-1.83%"
"2024- 01- 30","7,650","7,760","7,820","7,500","16.30K","-2.30%"
"2024- 01- 29","7,830","7,950","7,950","7,780","5.39K","-0.76%"
"2024- 01- 26","7,890","7,920","7,930","7,770","2.47K","-0.13%"
"2024- 01- 25","7,900","7,970","7,970","7,850","2.43K","0.00%"
"2024- 01- 24","7,900","7,740","7,950","7,690","8.06K","2.20%"
"2024- 01- 23","7,730","7,710","7,820","7,650","3.26K","0.13%"
"2024- 01- 22","7,720","7,750","7,750","7,650","5.96K","0.13%"
"2024- 01- 19","7,710","7,710","7,850","7,650","18.16K","-1.78%"
"2024- 01- 18","7,850","7,950","7,950","7,810","7.52K","-0.63%"
"2024- 01- 17","7,900","8,140","8,140","7,870","22.57K","-2.95%"
"2024- 01- 16","8,140","8,150","8,190","8,070","3.35K","-0.12%"
"2024- 01- 15","8,150","8,170","8,200","8,080","4.30K","-0.12%"
"2024- 01- 12","8,160","8,210","8,260","8,100","6.16K","-0.61%"
"2024- 01- 11","8,210","8,210","8,360","8,070","5.73K","0.00%"
"2024- 01- 10","8,210","8,250","8,250","8,170","2.62K","-0.61%"
"2024- 01- 09","8,260","8,210","8,380","8,200","4.13K","0.36%"
"2024- 01- 08","8,230","8,200","8,300","8,160","7.43K","0.37%"
"2024- 01- 05","8,200","8,300","8,320","8,170","11.79K","-0.97%"
"2024- 01- 04","8,280","8,480","8,570","8,220","28.09K","-3.38%"
"2024- 01- 03","8,570","8,500","8,630","8,500","2.90K","-0.35%"
"2024- 01- 02","8,600","8,690","8,690","8,430","17.33K","-0.58%"
