"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,290","4,405","4,410","4,250","87.97K","-3.60%"
"2024- 05- 07","4,450","4,190","5,100","4,180","1.07M","7.75%"
"2024- 05- 03","4,130","4,090","4,130","4,085","5.09K","0.24%"
"2024- 05- 02","4,120","4,180","4,180","4,100","4.97K","0.61%"
"2024- 04- 30","4,095","4,160","4,160","4,095","4.63K","0.61%"
"2024- 04- 29","4,070","4,060","4,170","4,055","8.25K","0.25%"
"2024- 04- 26","4,060","4,105","4,120","4,055","16.97K","-1.10%"
"2024- 04- 25","4,105","4,215","4,225","4,095","14.41K","-2.61%"
"2024- 04- 24","4,215","4,360","4,360","4,155","16.41K","1.44%"
"2024- 04- 23","4,155","4,285","4,285","4,100","17.34K","-1.07%"
"2024- 04- 22","4,200","4,385","4,545","4,200","16.94K","-4.11%"
"2024- 04- 19","4,380","4,490","4,585","4,305","7.28K","-2.56%"
"2024- 04- 18","4,495","4,330","4,530","4,295","12.79K","4.41%"
"2024- 04- 17","4,305","4,400","4,400","4,280","4.41K","-0.12%"
"2024- 04- 16","4,310","4,410","4,430","4,200","24.08K","-2.27%"
"2024- 04- 15","4,410","4,510","4,555","4,300","23.25K","-1.23%"
"2024- 04- 12","4,465","4,600","4,600","4,400","38.07K","-1.00%"
"2024- 04- 11","4,510","4,630","4,790","4,510","27.34K","-2.59%"
"2024- 04- 09","4,630","4,565","4,825","4,565","10.77K","-1.07%"
"2024- 04- 08","4,680","4,740","4,740","4,590","29.04K","-1.27%"
"2024- 04- 05","4,740","4,800","4,930","4,730","9.49K","-1.25%"
"2024- 04- 04","4,800","4,810","4,810","4,755","15.61K","0.00%"
"2024- 04- 03","4,800","4,915","4,995","4,635","32.27K","-2.34%"
"2024- 04- 02","4,915","4,920","5,350","4,865","88.59K","-0.10%"
"2024- 04- 01","4,920","4,880","4,930","4,880","12.52K","0.82%"
"2024- 03- 29","4,880","4,965","4,965","4,840","12.06K","0.31%"
