"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","33,250","32,500","33,600","32,250","110.23K","1.53%"
"2024- 05- 07","32,750","33,000","33,550","32,200","173.93K","0.92%"
"2024- 05- 03","32,450","31,900","33,400","31,600","339.89K","6.39%"
"2024- 05- 02","30,500","29,850","30,750","28,500","67.34K","1.67%"
"2024- 04- 30","30,000","29,050","30,050","28,850","85.04K","3.81%"
"2024- 04- 29","28,900","30,000","32,100","28,700","280.82K","-3.34%"
"2024- 04- 26","29,900","30,500","30,550","29,800","65.21K","-0.99%"
"2024- 04- 25","30,200","29,850","30,800","29,300","186.92K","1.85%"
"2024- 04- 24","29,650","28,550","30,500","27,000","409.25K","12.74%"
"2024- 04- 23","26,300","27,300","27,450","26,200","43.45K","-3.31%"
"2024- 04- 22","27,200","27,250","27,900","26,450","57.87K","4.82%"
"2024- 04- 19","25,950","26,900","26,950","25,000","55.57K","-3.89%"
"2024- 04- 18","27,000","26,300","27,200","26,100","64.75K","1.31%"
"2024- 04- 17","26,650","23,650","27,950","23,650","259.95K","12.92%"
"2024- 04- 16","23,600","24,050","24,150","23,400","43.11K","-3.48%"
"2024- 04- 15","24,450","24,950","25,000","24,000","37.40K","-2.59%"
"2024- 04- 12","25,100","24,800","25,550","24,500","35.64K","1.41%"
"2024- 04- 11","24,750","24,950","25,450","24,500","22.95K","-1.39%"
"2024- 04- 09","25,100","24,650","25,250","24,500","29.49K","0.40%"
"2024- 04- 08","25,000","25,450","25,450","24,550","34.95K","-1.77%"
"2024- 04- 05","25,450","25,800","25,900","25,000","45.27K","-1.74%"
"2024- 04- 04","25,900","26,250","26,600","25,800","35.06K","-1.89%"
"2024- 04- 03","26,400","26,750","26,750","25,650","35.05K","-1.49%"
"2024- 04- 02","26,800","28,600","28,600","26,600","82.45K","-5.30%"
"2024- 04- 01","28,300","27,850","28,650","27,400","56.01K","3.66%"
"2024- 03- 29","27,300","28,600","28,600","27,200","55.28K","-3.70%"
"2024- 03- 28","28,350","28,400","28,500","27,750","52.06K","0.53%"
"2024- 03- 27","28,200","27,450","28,350","26,600","75.82K","3.68%"
"2024- 03- 26","27,200","27,250","27,650","26,650","52.51K","0.00%"
"2024- 03- 25","27,200","26,400","27,950","26,350","171.20K","5.22%"
"2024- 03- 22","25,850","26,050","26,150","25,500","72.52K","0.00%"
"2024- 03- 21","25,850","26,450","26,850","25,650","91.05K","0.00%"
"2024- 03- 20","25,850","26,050","26,400","25,500","61.22K","-0.58%"
"2024- 03- 19","26,000","26,950","27,000","25,850","82.38K","-2.62%"
"2024- 03- 18","26,700","27,500","28,450","26,650","128.32K","-2.91%"
"2024- 03- 17","27,500","27,500","27,500","27,500","","0.00%"
"2024- 03- 15","27,500","27,950","28,900","27,150","0.01K","-2.48%"
"2024- 03- 14","28,200","28,750","29,350","27,700","0.03K","-1.40%"
"2024- 03- 13","28,600","27,550","29,200","27,350","0.20K","4.57%"
"2024- 03- 12","27,350","27,600","27,650","26,900","68.38K","0.55%"
"2024- 03- 11","27,200","27,900","28,000","27,100","0.05K","-2.86%"
"2024- 03- 10","28,000","28,000","28,000","28,000","","0.00%"
"2024- 03- 08","28,000","28,900","29,500","27,800","177.07K","-3.45%"
"2024- 03- 07","29,000","32,600","32,600","28,950","305.21K","-11.04%"
"2024- 03- 06","32,600","33,050","33,300","32,000","77.69K","-2.25%"
"2024- 03- 05","33,350","32,400","33,600","31,850","0.00K","3.89%"
"2024- 03- 04","32,100","33,550","33,550","31,850","0.16K","-2.73%"
"2024- 03- 03","33,000","33,000","33,000","33,000","","0.00%"
"2024- 02- 29","33,000","33,350","33,350","32,200","116.45K","-1.79%"
"2024- 02- 28","33,600","35,400","35,400","33,500","0.03K","-4.14%"
"2024- 02- 27","35,050","36,450","36,450","34,600","0.06K","-3.84%"
"2024- 02- 26","36,450","37,100","37,450","36,250","0.02K","-0.95%"
"2024- 02- 25","36,800","36,800","36,800","36,800","","0.00%"
"2024- 02- 23","36,800","38,000","38,050","36,200","146.73K","-1.74%"
"2024- 02- 22","37,450","36,150","37,850","35,750","0.03K","6.09%"
"2024- 02- 21","35,300","36,800","36,800","34,800","264.73K","-5.49%"
"2024- 02- 20","37,350","40,000","40,400","37,300","0.14K","-4.48%"
"2024- 02- 19","39,100","37,300","41,000","37,050","869.02K","6.68%"
"2024- 02- 18","36,650","36,650","36,650","36,650","","0.00%"
"2024- 02- 16","36,650","37,100","37,650","35,750","211.40K","1.24%"
"2024- 02- 15","36,200","38,200","39,800","35,750","466.20K","-2.29%"
"2024- 02- 14","37,050","33,800","37,100","33,500","468.05K","7.39%"
"2024- 02- 13","34,500","33,350","34,550","32,750","287.66K","4.70%"
"2024- 02- 12","32,950","32,950","32,950","32,950","","0.00%"
"2024- 02- 08","32,950","33,850","33,850","31,850","421.03K","-3.09%"
"2024- 02- 07","34,000","33,700","34,950","32,600","0.03K","1.49%"
"2024- 02- 06","33,500","34,600","34,700","32,550","386.52K","-1.18%"
"2024- 02- 05","33,900","36,650","36,900","33,350","0.12K","-7.00%"
"2024- 02- 04","36,450","36,450","36,450","36,450","","0.00%"
"2024- 02- 02","36,450","37,150","38,650","35,750","306.08K","-0.41%"
"2024- 02- 01","36,600","38,100","38,700","35,400","0.00K","-4.19%"
"2024- 01- 31","38,200","41,400","43,750","38,050","0.01K","-11.68%"
"2024- 01- 30","43,250","42,450","43,900","40,400","0.04K","2.00%"
"2024- 01- 29","42,400","52,400","52,700","42,150","0.15K","-22.34%"
"2024- 01- 28","54,600","54,600","54,600","54,600","","0.00%"
"2024- 01- 26","54,600","49,800","55,000","49,100","826.01K","9.64%"
"2024- 01- 25","49,800","49,900","51,800","46,850","0.71K","-3.68%"
"2024- 01- 24","51,700","55,400","55,500","50,700","565.96K","-5.48%"
"2024- 01- 23","54,700","51,800","57,800","50,800","0.11K","3.99%"
"2024- 01- 22","52,600","52,800","55,700","49,400","0.58K","0.96%"
"2024- 01- 21","52,100","52,100","52,100","52,100","","0.00%"
"2024- 01- 19","52,100","46,700","53,000","45,300","4.36M","23.75%"
"2024- 01- 18","42,100","33,550","42,100","32,700","1.09M","29.94%"
"2024- 01- 17","32,400","33,500","33,750","32,000","100.17K","-1.82%"
"2024- 01- 16","33,000","34,350","34,450","31,850","111.36K","-2.08%"
"2024- 01- 15","33,700","33,900","34,600","33,000","120.77K","-1.17%"
"2024- 01- 14","34,100","34,100","34,100","34,100","","0.00%"
"2024- 01- 12","34,100","36,250","36,600","33,700","166.79K","-5.93%"
"2024- 01- 11","36,250","36,100","37,600","35,500","0.01K","0.55%"
"2024- 01- 10","36,050","34,700","36,500","33,600","0.05K","2.71%"
"2024- 01- 09","35,100","36,200","36,500","34,450","0.06K","-1.96%"
"2024- 01- 08","35,800","36,500","38,000","34,800","789.11K","4.53%"
"2024- 01- 07","34,250","34,250","34,250","34,250","","0.00%"
"2024- 01- 05","34,250","32,150","34,600","31,000","475.21K","8.04%"
"2024- 01- 04","31,700","32,650","33,000","30,850","133.55K","-2.91%"
"2024- 01- 03","32,650","31,050","33,100","30,900","0.06K","3.49%"
"2024- 01- 02","31,550","29,050","31,650","28,950","0.70K","8.61%"
