"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,194","1,195","1,225","1,185","46.12K","0.76%"
"2024- 05- 07","1,185","1,197","1,197","1,182","50.27K","-0.59%"
"2024- 05- 03","1,192","1,192","1,207","1,185","62.07K","-0.58%"
"2024- 05- 02","1,199","1,203","1,208","1,190","42.04K","-0.33%"
"2024- 04- 30","1,203","1,198","1,219","1,189","62.02K","0.50%"
"2024- 04- 29","1,197","1,213","1,242","1,177","85.10K","-0.33%"
"2024- 04- 26","1,201","1,193","1,220","1,179","63.12K","-0.25%"
"2024- 04- 25","1,204","1,205","1,228","1,175","86.68K","-0.08%"
"2024- 04- 24","1,205","1,208","1,231","1,204","63.46K","-0.17%"
"2024- 04- 23","1,207","1,274","1,274","1,207","43.76K","-1.47%"
"2024- 04- 22","1,225","1,218","1,246","1,213","45.60K","0.57%"
"2024- 04- 19","1,218","1,247","1,275","1,201","90.14K","-2.33%"
"2024- 04- 18","1,247","1,246","1,284","1,227","107.87K","0.16%"
"2024- 04- 17","1,245","1,225","1,291","1,225","99.50K","-0.40%"
"2024- 04- 16","1,250","1,253","1,274","1,220","62.55K","-0.95%"
"2024- 04- 15","1,262","1,291","1,328","1,247","155.76K","-0.79%"
"2024- 04- 12","1,272","1,233","1,332","1,205","229.81K","3.08%"
"2024- 04- 11","1,234","1,174","1,290","1,140","155.91K","4.58%"
"2024- 04- 09","1,180","1,201","1,229","1,163","184.22K","-1.75%"
"2024- 04- 08","1,201","1,252","1,280","1,193","211.98K","-4.07%"
"2024- 04- 05","1,252","1,312","1,326","1,212","309.46K","-5.58%"
"2024- 04- 04","1,326","1,415","1,488","1,312","173.15K","-6.29%"
"2024- 04- 03","1,415","1,384","1,423","1,298","245.52K","2.24%"
"2024- 04- 02","1,384","1,421","1,443","1,365","232.69K","-3.42%"
"2024- 04- 01","1,433","1,473","1,538","1,380","388.03K","-1.71%"
"2024- 03- 29","1,458","1,541","1,550","1,444","373.68K","-5.39%"
"2024- 03- 28","1,541","1,619","1,619","1,538","382.05K","-4.29%"
"2024- 03- 27","1,610","1,503","1,679","1,489","1.22M","7.12%"
"2024- 03- 26","1,503","1,518","1,569","1,477","194.19K","-0.99%"
"2024- 03- 25","1,518","1,544","1,569","1,512","191.40K","-1.68%"
"2024- 03- 22","1,544","1,540","1,560","1,485","365.82K","-0.71%"
"2024- 03- 21","1,555","1,505","1,777","1,478","3.47M","8.51%"
"2024- 03- 20","1,433","1,418","1,488","1,360","507.23K","1.06%"
"2024- 03- 19","1,418","1,437","1,455","1,384","391.17K","1.58%"
"2024- 03- 18","1,396","1,324","1,476","1,293","757.31K","4.73%"
"2024- 03- 15","1,333","1,324","1,364","1,275","33.67K","-1.62%"
"2024- 03- 14","1,355","1,183","1,424","1,164","0.00K","0.67%"
"2024- 03- 13","1,346","1,410","1,419","1,340","422.03K","-4.54%"
"2024- 03- 12","1,410","1,484","1,490","1,400","839.23K","-4.34%"
"2024- 03- 11","1,474","1,270","1,595","1,270","0.04K","17.45%"
"2024- 03- 08","1,255","1,185","1,290","1,150","947.53K","10.87%"
"2024- 03- 07","1,132","1,103","1,154","1,103","253.89K","2.82%"
"2024- 03- 06","1,101","1,150","1,185","1,101","246.38K","-5.66%"
"2024- 03- 05","1,167","1,120","1,189","1,085","0.01K","4.20%"
"2024- 03- 04","1,120","1,067","1,120","1,043","385.46K","4.97%"
"2024- 02- 29","1,067","1,077","1,120","1,000","736.17K","-2.65%"
"2024- 02- 28","1,096","1,124","1,188","1,090","643.89K","-4.53%"
"2024- 02- 27","1,148","1,196","1,196","1,106","0.17K","-4.01%"
"2024- 02- 26","1,196","1,235","1,330","1,145","0.02K","-2.45%"
"2024- 02- 23","1,226","1,600","1,628","1,212","4.71M","-23.95%"
"2024- 02- 22","1,612","1,698","1,698","1,605","267.86K","-3.53%"
"2024- 02- 21","1,671","1,751","1,764","1,650","339.17K","-6.18%"
"2024- 02- 20","1,781","1,810","1,817","1,756","96.94K","-0.50%"
"2024- 02- 19","1,790","1,815","1,832","1,780","99.23K","-1.27%"
"2024- 02- 16","1,813","1,820","1,830","1,779","197.32K","0.22%"
"2024- 02- 15","1,809","1,796","1,815","1,760","0.01K","0.72%"
"2024- 02- 14","1,796","1,757","1,797","1,700","206.77K","2.28%"
"2024- 02- 13","1,756","1,701","1,758","1,701","196.66K","3.48%"
"2024- 02- 08","1,697","1,680","1,701","1,634","94.75K","3.29%"
"2024- 02- 07","1,643","1,619","1,680","1,610","0.05K","0.06%"
"2024- 02- 06","1,642","1,660","1,680","1,600","210.34K","-1.38%"
"2024- 02- 05","1,665","1,770","1,770","1,665","0.03K","-5.07%"
"2024- 02- 04","1,754","1,754","1,754","1,754","","0.00%"
"2024- 02- 02","1,754","1,717","1,799","1,659","569.92K","5.35%"
"2024- 02- 01","1,665","1,594","1,694","1,560","465.27K","-1.71%"
"2024- 01- 31","1,694","1,762","1,772","1,676","0.00K","-3.86%"
"2024- 01- 30","1,762","1,668","1,802","1,666","0.20K","5.64%"
"2024- 01- 29","1,668","1,727","1,735","1,562","773.06K","-3.47%"
