"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,445.00","3,160.00","3,655.00","3,140.00","368.96K","9.02%"
"2024- 05- 07","3,160.00","3,090.00","3,190.00","3,090.00","18.22K","2.27%"
"2024- 05- 03","3,090.00","3,070.00","3,150.00","3,050.00","23.05K","-0.16%"
"2024- 05- 02","3,095.00","3,070.00","3,120.00","3,050.00","16.72K","0.49%"
"2024- 04- 30","3,080.00","3,180.00","3,180.00","3,075.00","28.86K","0.65%"
"2024- 04- 29","3,060.00","3,005.00","3,070.00","3,005.00","44.81K","1.83%"
"2024- 04- 26","3,005.00","3,000.00","3,030.00","2,995.00","30.98K","0.17%"
"2024- 04- 25","3,000.00","3,095.00","3,095.00","2,985.00","23.41K","-0.66%"
"2024- 04- 24","3,020.00","3,095.00","3,095.00","2,985.00","21.54K","1.17%"
"2024- 04- 23","2,985.00","2,960.00","3,025.00","2,960.00","28.88K","0.17%"
"2024- 04- 22","2,980.00","2,895.00","3,075.00","2,895.00","35.10K","0.68%"
"2024- 04- 19","2,960.00","3,025.00","3,095.00","2,880.00","71.22K","-2.31%"
"2024- 04- 18","3,030.00","3,045.00","3,065.00","2,980.00","43.53K","1.68%"
"2024- 04- 17","2,980.00","3,000.00","3,065.00","2,970.00","63.70K","0.00%"
"2024- 04- 16","2,980.00","3,100.00","3,100.00","2,950.00","129.49K","-3.87%"
"2024- 04- 15","3,100.00","3,240.00","3,245.00","2,980.00","196.55K","-6.91%"
"2024- 04- 12","3,330.00","3,300.00","4,005.00","3,260.00","2.85M","7.42%"
"2024- 04- 11","3,100.00","3,030.00","3,280.00","3,030.00","57.93K","-1.43%"
"2024- 04- 09","3,145.00","3,315.00","3,365.00","3,120.00","78.79K","-5.13%"
"2024- 04- 08","3,315.00","3,510.00","3,540.00","3,315.00","44.43K","-5.56%"
"2024- 04- 05","3,510.00","3,560.00","3,580.00","3,500.00","19.45K","-1.96%"
"2024- 04- 04","3,580.00","3,590.00","3,625.00","3,560.00","14.08K","-0.28%"
"2024- 04- 03","3,590.00","3,625.00","3,625.00","3,585.00","19.17K","-0.28%"
"2024- 04- 02","3,600.00","3,615.00","3,615.00","3,595.00","14.63K","-0.41%"
