"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,750","8,540","8,770","8,540","30.51K","1.27%"
"2024- 05- 07","8,640","8,650","8,700","8,550","23.98K","0.82%"
"2024- 05- 03","8,570","8,550","8,660","8,530","12.17K","0.00%"
"2024- 05- 02","8,570","8,540","8,670","8,480","30.54K","0.35%"
"2024- 04- 30","8,540","8,460","8,620","8,460","25.81K","0.00%"
"2024- 04- 29","8,540","8,310","8,540","8,300","27.23K","2.89%"
"2024- 04- 26","8,300","8,440","8,510","8,280","28.91K","-2.12%"
"2024- 04- 25","8,480","8,520","8,550","8,390","10.44K","-0.24%"
"2024- 04- 24","8,500","8,400","8,530","8,390","16.74K","1.43%"
"2024- 04- 23","8,380","8,420","8,580","8,380","15.07K","-1.30%"
"2024- 04- 22","8,490","8,400","8,670","8,390","20.41K","1.07%"
"2024- 04- 19","8,400","8,470","8,470","8,220","22.31K","-0.83%"
"2024- 04- 18","8,470","8,220","8,490","8,220","11.29K","1.56%"
"2024- 04- 17","8,340","8,270","8,470","8,270","19.51K","0.85%"
"2024- 04- 16","8,270","8,310","8,470","8,250","51.19K","-2.25%"
"2024- 04- 15","8,460","8,590","8,610","8,360","28.95K","-1.51%"
"2024- 04- 12","8,590","8,520","8,600","8,470","19.58K","0.82%"
"2024- 04- 11","8,520","8,620","8,670","8,440","27.70K","-1.16%"
"2024- 04- 09","8,620","8,570","8,720","8,560","21.03K","0.58%"
"2024- 04- 08","8,570","8,730","8,770","8,570","34.13K","-1.83%"
"2024- 04- 05","8,730","8,670","8,790","8,640","28.13K","-0.11%"
"2024- 04- 04","8,740","8,800","8,930","8,740","37.22K","-1.13%"
"2024- 04- 03","8,840","8,880","8,990","8,770","38.37K","-0.45%"
"2024- 04- 02","8,880","9,210","9,250","8,870","123.65K","-3.48%"
"2024- 04- 01","9,200","9,170","9,470","8,990","128.07K","0.11%"
"2024- 03- 29","9,190","9,080","9,780","9,080","131.21K","0.55%"
"2024- 03- 28","9,140","9,230","9,260","9,130","38.25K","-0.98%"
"2024- 03- 27","9,230","9,430","9,480","9,160","36.91K","-2.12%"
"2024- 03- 26","9,430","9,150","9,430","9,130","34.88K","2.50%"
