"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","67,400","66,400","67,600","66,400","97.40K","0.30%"
"2024- 04- 29","67,200","67,600","67,600","66,200","96.53K","0.60%"
"2024- 04- 26","66,800","66,600","67,600","65,800","76.82K","1.21%"
"2024- 04- 25","66,000","64,900","66,500","64,900","88.18K","0.76%"
"2024- 04- 24","65,500","65,000","66,900","64,700","84.00K","1.39%"
"2024- 04- 23","64,600","65,200","66,400","64,600","86.59K","-1.97%"
"2024- 04- 22","65,900","62,200","66,400","61,700","213.46K","8.21%"
"2024- 04- 19","60,900","60,900","61,700","60,200","133.80K","-1.46%"
"2024- 04- 18","61,800","61,500","62,300","61,000","69.27K","1.48%"
"2024- 04- 17","60,900","61,900","62,000","60,900","70.42K","-1.30%"
"2024- 04- 16","61,700","62,200","64,000","61,500","94.33K","-2.53%"
"2024- 04- 15","63,300","62,100","63,600","61,400","63.12K","0.80%"
"2024- 04- 12","62,800","63,400","64,500","62,500","128.10K","-1.57%"
"2024- 04- 11","63,800","64,500","65,000","63,100","219.63K","-2.89%"
"2024- 04- 09","65,700","67,700","68,000","65,500","67.78K","-2.95%"
"2024- 04- 08","67,700","66,400","67,800","65,900","67.36K","1.96%"
"2024- 04- 05","66,400","66,400","67,900","66,000","58.22K","-1.19%"
"2024- 04- 04","67,200","67,300","67,900","65,900","153.32K","2.13%"
"2024- 04- 03","65,800","66,500","67,500","65,500","110.11K","-2.52%"
"2024- 04- 02","67,500","66,000","68,000","65,500","127.14K","1.05%"
"2024- 04- 01","66,800","67,400","67,500","66,000","112.82K","0.30%"
"2024- 03- 29","66,600","66,900","67,100","66,200","84.76K","0.00%"
"2024- 03- 28","66,600","68,300","69,400","66,400","246.73K","-3.06%"
"2024- 03- 27","68,700","68,500","69,400","68,500","101.46K","-1.01%"
"2024- 03- 26","69,400","69,700","70,200","69,000","97.80K","0.29%"
"2024- 03- 25","69,200","71,000","71,100","68,400","159.32K","-3.08%"
"2024- 03- 22","71,400","71,400","73,000","70,600","125.04K","-1.92%"
"2024- 03- 21","72,800","71,500","72,900","70,800","192.90K","2.10%"
"2024- 03- 20","71,300","70,200","71,700","69,600","166.74K","3.33%"
