"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,850","5,920","5,990","5,800","15.80K","-1.68%"
"2024- 05- 07","5,950","6,000","6,030","5,920","10.45K","-0.67%"
"2024- 05- 03","5,990","6,080","6,080","5,930","10.01K","-0.17%"
"2024- 05- 02","6,000","6,090","6,100","6,000","6.95K","-1.48%"
"2024- 04- 30","6,090","6,230","6,230","5,990","20.14K","-2.09%"
"2024- 04- 29","6,220","6,350","6,350","6,050","10.72K","-0.16%"
"2024- 04- 26","6,230","6,250","6,350","6,090","23.55K","-0.64%"
"2024- 04- 25","6,270","6,260","6,360","6,150","35.23K","0.16%"
"2024- 04- 24","6,260","6,210","6,330","6,130","33.13K","-0.79%"
"2024- 04- 23","6,310","5,920","6,460","5,850","212.76K","6.95%"
"2024- 04- 22","5,900","5,740","5,900","5,600","29.41K","4.06%"
"2024- 04- 19","5,670","5,730","5,730","5,570","11.71K","-0.18%"
"2024- 04- 18","5,680","5,580","5,700","5,560","9.80K","1.79%"
"2024- 04- 17","5,580","5,450","5,740","5,350","22.97K","0.00%"
"2024- 04- 16","5,580","5,650","5,650","5,480","16.85K","-1.24%"
"2024- 04- 15","5,650","5,790","5,800","5,590","22.82K","-2.59%"
"2024- 04- 12","5,800","5,770","5,800","5,590","40.57K","2.84%"
"2024- 04- 11","5,640","5,600","5,750","5,550","41.08K","1.81%"
"2024- 04- 09","5,540","5,490","5,550","5,450","6.40K","0.91%"
"2024- 04- 08","5,490","5,380","5,520","5,380","2.71K","0.00%"
"2024- 04- 05","5,490","5,670","5,670","5,400","12.82K","-2.14%"
"2024- 04- 04","5,610","5,650","5,650","5,500","7.43K","0.54%"
"2024- 04- 03","5,580","5,630","5,700","5,500","24.28K","-2.28%"
"2024- 04- 02","5,710","5,680","5,800","5,560","33.28K","-0.17%"
"2024- 04- 01","5,720","5,700","5,760","5,560","35.15K","0.35%"
"2024- 03- 29","5,700","5,480","5,760","5,480","65.30K","1.79%"
"2024- 03- 28","5,600","5,370","5,630","5,360","65.57K","4.28%"
"2024- 03- 27","5,370","5,330","5,390","5,150","21.49K","0.75%"
"2024- 03- 26","5,330","5,390","5,420","5,200","16.02K","-1.11%"
"2024- 03- 25","5,390","5,300","5,450","5,100","17.58K","1.70%"
"2024- 03- 22","5,300","5,300","5,460","5,060","57.76K","0.19%"
"2024- 03- 21","5,290","5,260","5,350","5,100","92.20K","-1.86%"
"2024- 03- 20","5,390","5,160","6,070","5,050","534.21K","5.69%"
"2024- 03- 19","5,100","5,110","5,220","5,020","21.80K","-2.30%"
"2024- 03- 18","5,220","5,230","5,230","5,110","10.44K","0.19%"
"2024- 03- 15","5,210","5,200","5,210","5,050","9.56K","-0.76%"
"2024- 03- 14","5,250","5,050","5,260","5,030","21.37K","3.96%"
"2024- 03- 13","5,050","5,150","5,150","4,900","27.14K","-0.79%"
"2024- 03- 12","5,090","5,340","5,340","5,070","12.30K","-2.86%"
"2024- 03- 11","5,240","5,220","5,240","5,100","4.62K","0.00%"
"2024- 03- 08","5,240","5,350","5,350","5,140","11.99K","-2.06%"
"2024- 03- 07","5,350","5,320","5,470","5,020","45.01K","-0.93%"
"2024- 03- 06","5,400","5,520","5,520","5,350","15.67K","-2.17%"
"2024- 03- 05","5,520","5,550","5,570","5,390","12.66K","-0.54%"
"2024- 03- 04","5,550","5,550","5,600","5,390","11.59K","0.18%"
"2024- 02- 29","5,540","5,650","5,660","5,530","19.12K","-0.89%"
"2024- 02- 28","5,590","5,700","5,700","5,500","21.12K","1.64%"
"2024- 02- 27","5,500","5,340","5,520","5,340","11.13K","0.18%"
"2024- 02- 26","5,490","5,260","5,510","5,260","11.99K","4.37%"
"2024- 02- 25","5,260","5,260","5,260","5,260","","0.00%"
"2024- 02- 23","5,260","5,510","5,510","5,200","11.93K","-3.13%"
"2024- 02- 22","5,430","5,560","5,560","5,310","4.22K","-0.73%"
"2024- 02- 21","5,470","5,610","5,620","5,470","7.89K","-2.67%"
"2024- 02- 20","5,620","5,730","5,780","5,520","9.25K","-0.71%"
"2024- 02- 19","5,660","5,440","5,800","5,350","91.19K","4.62%"
"2024- 02- 16","5,410","5,270","5,410","5,210","19.70K","2.46%"
"2024- 02- 15","5,280","5,370","5,370","5,230","16.51K","1.15%"
"2024- 02- 14","5,220","5,200","5,240","5,090","19.12K","1.36%"
"2024- 02- 13","5,150","4,980","5,170","4,980","28.88K","4.57%"
"2024- 02- 08","4,925","5,070","5,070","4,900","18.95K","-1.89%"
"2024- 02- 07","5,020","5,020","5,030","4,925","7.01K","1.01%"
"2024- 02- 06","4,970","5,110","5,110","4,970","12.72K","-2.74%"
"2024- 02- 05","5,110","5,050","5,150","4,975","19.12K","2.20%"
"2024- 02- 02","5,000","4,970","5,190","4,970","29.84K","-0.40%"
"2024- 02- 01","5,020","5,220","5,230","4,925","49.57K","-4.74%"
"2024- 01- 31","5,270","4,850","5,610","4,850","321.10K","8.77%"
"2024- 01- 30","4,845","4,785","4,890","4,785","9.10K","0.21%"
"2024- 01- 29","4,835","4,590","4,965","4,560","47.39K","5.68%"
"2024- 01- 26","4,575","4,695","4,695","4,500","14.77K","-0.11%"
"2024- 01- 25","4,580","4,675","4,675","4,450","25.20K","-0.76%"
"2024- 01- 24","4,615","4,610","4,740","4,565","11.29K","0.11%"
"2024- 01- 23","4,610","4,555","4,670","4,535","10.83K","-1.18%"
"2024- 01- 22","4,665","4,755","4,790","4,655","18.73K","-1.37%"
"2024- 01- 19","4,730","4,760","4,760","4,690","7.46K","0.85%"
"2024- 01- 18","4,690","4,605","4,690","4,600","19.12K","-0.32%"
"2024- 01- 17","4,705","4,820","4,890","4,695","22.00K","-2.99%"
"2024- 01- 16","4,850","4,905","4,910","4,850","28.60K","-2.02%"
"2024- 01- 15","4,950","5,010","5,050","4,950","20.89K","-1.79%"
"2024- 01- 12","5,040","4,995","5,050","4,940","11.48K","1.20%"
"2024- 01- 11","4,980","4,990","5,030","4,940","13.90K","0.10%"
"2024- 01- 10","4,975","4,975","5,040","4,945","26.45K","-0.50%"
"2024- 01- 09","5,000","4,990","5,040","4,970","12.42K","0.20%"
"2024- 01- 08","4,990","4,990","5,000","4,925","4.53K","0.20%"
"2024- 01- 05","4,980","4,940","5,050","4,935","16.08K","-0.40%"
"2024- 01- 04","5,000","4,975","5,000","4,875","9.32K","0.00%"
"2024- 01- 03","5,000","5,080","5,100","4,965","11.91K","-0.79%"
"2024- 01- 02","5,040","4,980","5,080","4,935","40.59K","1.82%"
