"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","3,075","3,100","3,100","3,065","102.89K","-0.65%"
"2024- 05- 03","3,095","3,095","3,105","3,075","65.32K","0.00%"
"2024- 05- 02","3,095","3,075","3,105","3,070","90.54K","0.49%"
"2024- 04- 30","3,080","3,075","3,090","3,075","148.71K","0.00%"
"2024- 04- 29","3,080","3,060","3,090","3,035","97.68K","0.98%"
"2024- 04- 26","3,050","3,050","3,065","3,025","143.02K","0.00%"
"2024- 04- 25","3,050","3,045","3,075","3,020","157.89K","0.49%"
"2024- 04- 24","3,035","3,070","3,070","3,020","140.14K","-0.98%"
"2024- 04- 23","3,065","3,060","3,090","3,035","75.19K","0.16%"
"2024- 04- 22","3,060","3,000","3,090","3,000","145.61K","1.83%"
"2024- 04- 19","3,005","3,015","3,020","2,980","123.43K","-0.33%"
"2024- 04- 18","3,015","2,955","3,015","2,955","144.84K","1.86%"
"2024- 04- 17","2,960","2,980","2,980","2,950","134.74K","-0.34%"
"2024- 04- 16","2,970","2,980","2,980","2,945","217.69K","-0.67%"
"2024- 04- 15","2,990","2,990","2,995","2,940","188.40K","-0.17%"
"2024- 04- 12","2,995","3,060","3,060","2,995","246.79K","-1.32%"
"2024- 04- 11","3,035","3,060","3,080","3,025","135.74K","-1.30%"
"2024- 04- 09","3,075","3,085","3,090","3,065","109.69K","0.16%"
"2024- 04- 08","3,070","3,090","3,100","3,070","105.91K","-0.65%"
"2024- 04- 05","3,090","3,100","3,115","3,085","152.20K","-0.64%"
"2024- 04- 04","3,110","3,150","3,150","3,100","145.33K","-0.64%"
"2024- 04- 03","3,130","3,120","3,145","3,100","248.75K","-0.48%"
"2024- 04- 02","3,145","3,130","3,150","3,115","125.34K","0.16%"
"2024- 04- 01","3,140","3,125","3,165","3,105","202.19K","0.48%"
"2024- 03- 29","3,125","3,155","3,180","3,105","319.03K","-0.79%"
"2024- 03- 28","3,150","3,165","3,195","3,145","222.27K","-0.47%"
"2024- 03- 27","3,165","3,225","3,255","3,150","417.64K","-1.86%"
"2024- 03- 26","3,225","3,215","3,250","3,170","889.82K","-6.39%"
"2024- 03- 25","3,445","3,430","3,480","3,415","829.19K","0.58%"
"2024- 03- 22","3,425","3,440","3,455","3,405","574.95K","-0.44%"
"2024- 03- 21","3,440","3,405","3,450","3,390","453.87K","1.18%"
"2024- 03- 20","3,400","3,410","3,435","3,385","270.79K","-0.29%"
"2024- 03- 19","3,410","3,410","3,440","3,395","237.68K","-0.15%"
"2024- 03- 18","3,415","3,475","3,485","3,405","304.65K","-1.73%"
"2024- 03- 15","3,475","3,475","3,510","3,455","289.05K","0.00%"
"2024- 03- 14","3,475","3,430","3,500","3,430","420.15K","1.61%"
