"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","6,020","5,960","6,020","5,930","46.35K","1.01%"
"2024- 05- 03","5,960","6,000","6,020","5,900","73.97K","-0.67%"
"2024- 05- 02","6,000","5,890","6,020","5,890","66.22K","0.84%"
"2024- 04- 30","5,950","5,960","5,980","5,810","179.95K","-0.17%"
"2024- 04- 29","5,960","6,030","6,100","5,920","100.49K","-0.50%"
"2024- 04- 26","5,990","6,000","6,050","5,930","84.84K","-0.66%"
"2024- 04- 25","6,030","6,050","6,110","5,930","119.20K","-0.33%"
"2024- 04- 24","6,050","5,940","6,100","5,910","261.70K","2.54%"
"2024- 04- 23","5,900","5,630","5,960","5,620","237.81K","6.12%"
"2024- 04- 22","5,560","5,580","5,640","5,530","51.53K","0.72%"
"2024- 04- 19","5,520","5,570","5,590","5,460","30.79K","-0.72%"
"2024- 04- 18","5,560","5,530","5,610","5,500","38.53K","1.83%"
"2024- 04- 17","5,460","5,560","5,560","5,450","75.69K","0.00%"
"2024- 04- 16","5,460","5,470","5,650","5,440","82.41K","-0.91%"
"2024- 04- 15","5,510","5,500","5,580","5,470","90.39K","-1.43%"
"2024- 04- 12","5,590","5,520","5,590","5,500","48.08K","0.90%"
"2024- 04- 11","5,540","5,600","5,670","5,500","111.20K","-1.42%"
"2024- 04- 09","5,620","5,660","5,690","5,570","74.51K","-0.71%"
"2024- 04- 08","5,660","5,800","5,800","5,620","73.20K","-1.22%"
"2024- 04- 05","5,730","5,850","5,850","5,640","163.16K","-2.05%"
"2024- 04- 04","5,850","5,890","5,890","5,830","62.49K","-0.51%"
"2024- 04- 03","5,880","5,900","5,900","5,740","69.91K","0.51%"
"2024- 04- 02","5,850","6,020","6,060","5,830","87.64K","-2.50%"
"2024- 04- 01","6,000","5,750","6,030","5,750","95.78K","2.21%"
"2024- 03- 29","5,870","5,990","5,990","5,860","54.21K","-0.51%"
"2024- 03- 28","5,900","5,960","6,030","5,870","92.75K","-1.01%"
"2024- 03- 27","5,960","6,030","6,050","5,960","42.97K","-0.50%"
"2024- 03- 26","5,990","5,900","6,060","5,870","60.36K","1.53%"
"2024- 03- 25","5,900","5,840","5,950","5,830","67.61K","1.03%"
"2024- 03- 22","5,840","6,020","6,020","5,660","138.90K","-2.34%"
"2024- 03- 21","5,980","6,000","6,020","5,960","44.20K","0.34%"
"2024- 03- 20","5,960","6,010","6,010","5,930","81.71K","-0.17%"
"2024- 03- 19","5,970","6,000","6,040","5,920","109.82K","-0.50%"
"2024- 03- 18","6,000","6,070","6,150","5,980","111.59K","-0.99%"
"2024- 03- 15","6,060","6,070","6,250","6,050","8.37K","-3.04%"
"2024- 03- 14","6,250","6,200","6,400","6,150","326.65K","4.69%"
"2024- 03- 13","5,970","6,010","6,090","5,930","89.85K","-0.33%"
"2024- 03- 12","5,990","6,090","6,090","5,960","116.02K","-0.50%"
"2024- 03- 11","6,020","6,070","6,090","5,940","101.56K","-1.15%"
"2024- 03- 08","6,090","6,180","6,180","6,030","80.39K","-0.98%"
"2024- 03- 07","6,150","6,110","6,150","6,030","0.15K","1.15%"
"2024- 03- 06","6,080","6,120","6,160","6,030","67.29K","-0.33%"
"2024- 03- 05","6,100","6,170","6,230","6,070","0.00K","-1.13%"
"2024- 03- 04","6,170","6,250","6,280","6,170","0.05K","-1.28%"
"2024- 02- 29","6,250","6,260","6,260","6,170","30.09K","0.64%"
"2024- 02- 28","6,210","6,170","6,270","6,170","36.47K","0.49%"
"2024- 02- 27","6,180","6,330","6,330","6,130","111.76K","-1.90%"
"2024- 02- 26","6,300","6,310","6,330","6,220","57.28K","0.32%"
"2024- 02- 25","6,280","6,280","6,280","6,280","","0.00%"
"2024- 02- 23","6,280","6,480","6,480","6,270","107.27K","-3.09%"
"2024- 02- 22","6,480","6,490","6,540","6,390","82.40K","0.62%"
"2024- 02- 21","6,440","6,400","6,530","6,390","79.42K","0.00%"
"2024- 02- 20","6,440","6,550","6,550","6,360","60.84K","-0.92%"
"2024- 02- 19","6,500","6,510","6,550","6,430","50.66K","0.31%"
"2024- 02- 16","6,480","6,590","6,590","6,440","78.86K","-0.31%"
"2024- 02- 15","6,500","6,650","6,650","6,480","92.34K","-1.66%"
"2024- 02- 14","6,610","6,510","6,620","6,460","78.36K","0.46%"
"2024- 02- 13","6,580","6,440","6,610","6,420","0.20K","2.65%"
"2024- 02- 12","6,410","6,410","6,410","6,410","","0.00%"
"2024- 02- 08","6,410","6,380","6,490","6,340","61.47K","1.10%"
"2024- 02- 07","6,340","6,360","6,420","6,290","90.83K","0.00%"
"2024- 02- 06","6,340","6,410","6,450","6,280","78.46K","-0.16%"
"2024- 02- 05","6,350","6,590","6,590","6,350","215.38K","-4.51%"
"2024- 02- 02","6,650","6,600","6,720","6,580","149.10K","1.68%"
"2024- 02- 01","6,540","6,530","6,580","6,310","258.10K","0.15%"
"2024- 01- 31","6,530","6,650","6,720","6,470","141.10K","-1.51%"
"2024- 01- 30","6,630","6,890","7,080","6,610","346.62K","-2.64%"
"2024- 01- 29","6,810","6,840","6,900","6,620","0.30K","-0.15%"
"2024- 01- 26","6,820","6,820","6,940","6,750","98.43K","0.89%"
"2024- 01- 25","6,760","6,880","6,930","6,660","0.00K","-1.60%"
"2024- 01- 24","6,870","7,080","7,080","6,760","155.80K","-1.72%"
"2024- 01- 23","6,990","7,150","7,150","6,970","152.42K","-0.85%"
"2024- 01- 22","7,050","7,180","7,220","6,970","293.58K","0.14%"
"2024- 01- 21","7,040","7,040","7,040","7,040","","0.00%"
"2024- 01- 19","7,040","6,790","7,080","6,730","411.71K","5.55%"
"2024- 01- 18","6,670","6,670","6,870","6,640","159.18K","0.15%"
"2024- 01- 17","6,660","6,740","6,860","6,590","233.92K","-1.19%"
"2024- 01- 16","6,740","6,670","6,820","6,430","273.78K","1.05%"
"2024- 01- 15","6,670","6,720","6,880","6,510","384.08K","-1.91%"
"2024- 01- 12","6,800","7,040","7,050","6,790","165.50K","-3.41%"
