"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,745","4,720","4,760","4,690","23.08K","0.85%"
"2024- 05- 07","4,705","4,765","4,815","4,685","138.49K","-1.26%"
"2024- 05- 03","4,765","4,760","4,805","4,740","28.12K","0.11%"
"2024- 05- 02","4,760","4,810","4,825","4,750","27.24K","-1.24%"
"2024- 04- 30","4,820","4,825","4,890","4,820","27.71K","0.00%"
"2024- 04- 29","4,820","4,775","4,840","4,750","28.76K","1.15%"
"2024- 04- 26","4,765","4,725","4,765","4,690","33.14K","0.95%"
"2024- 04- 25","4,720","4,865","4,870","4,705","53.70K","-3.28%"
"2024- 04- 24","4,880","4,750","4,905","4,750","48.52K","2.74%"
"2024- 04- 23","4,750","4,780","4,815","4,750","26.23K","-0.63%"
"2024- 04- 22","4,780","4,880","4,885","4,725","60.11K","2.58%"
"2024- 04- 19","4,660","4,795","4,795","4,625","74.04K","-2.82%"
"2024- 04- 18","4,795","4,675","4,795","4,675","28.45K","2.57%"
"2024- 04- 17","4,675","4,605","4,700","4,605","39.85K","0.86%"
"2024- 04- 16","4,635","4,660","4,675","4,550","59.40K","-0.54%"
"2024- 04- 15","4,660","4,780","4,795","4,645","86.15K","-3.72%"
"2024- 04- 12","4,840","4,820","4,895","4,805","41.19K","-0.31%"
"2024- 04- 11","4,855","4,855","4,905","4,800","53.00K","-0.10%"
"2024- 04- 09","4,860","4,995","5,060","4,860","84.08K","-2.51%"
"2024- 04- 08","4,985","5,150","5,150","4,980","54.24K","-2.25%"
"2024- 04- 05","5,100","5,080","5,110","5,020","34.96K","-0.20%"
"2024- 04- 04","5,110","5,080","5,120","5,080","13.35K","0.79%"
"2024- 04- 03","5,070","5,070","5,130","5,040","47.33K","0.00%"
"2024- 04- 02","5,070","5,190","5,190","5,070","45.35K","-2.12%"
"2024- 04- 01","5,180","5,090","5,190","5,090","34.33K","1.77%"
"2024- 03- 29","5,090","5,220","5,220","5,080","44.32K","-1.36%"
"2024- 03- 28","5,160","5,210","5,270","5,120","32.09K","-0.96%"
"2024- 03- 27","5,210","5,230","5,280","5,170","47.18K","-0.38%"
"2024- 03- 26","5,230","5,100","5,230","5,090","65.40K","2.55%"
"2024- 03- 25","5,100","5,140","5,170","5,080","48.11K","-0.78%"
"2024- 03- 22","5,140","5,170","5,230","5,140","53.02K","-1.15%"
"2024- 03- 21","5,200","5,250","5,280","5,170","91.31K","-1.33%"
"2024- 03- 20","5,270","5,080","5,330","5,080","178.55K","3.94%"
"2024- 03- 19","5,070","5,090","5,120","5,070","33.03K","-0.20%"
"2024- 03- 18","5,080","5,080","5,140","5,080","24.91K","-0.59%"
"2024- 03- 15","5,110","5,080","5,140","5,060","1.88K","0.00%"
"2024- 03- 14","5,110","5,160","5,160","5,090","27.22K","-0.97%"
"2024- 03- 13","5,160","5,170","5,170","5,080","62.42K","0.39%"
"2024- 03- 12","5,140","5,200","5,250","5,070","72.86K","-0.58%"
"2024- 03- 11","5,170","5,110","5,190","5,100","42.32K","1.37%"
"2024- 03- 08","5,100","5,120","5,240","5,070","71.93K","-1.16%"
"2024- 03- 07","5,160","5,170","5,210","5,080","66.64K","0.19%"
"2024- 03- 06","5,150","5,290","5,350","5,150","91.76K","-2.65%"
"2024- 03- 05","5,290","5,400","5,410","5,290","0.06K","-1.31%"
