"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,710","13,750","13,800","13,560","15.37K","0.15%"
"2024- 05- 07","13,690","13,590","13,700","13,500","22.83K","0.74%"
"2024- 05- 03","13,590","13,600","13,670","13,440","24.54K","-0.80%"
"2024- 05- 02","13,700","13,550","13,930","13,590","10.97K","-0.94%"
"2024- 04- 30","13,830","13,830","13,950","13,770","13.89K","0.00%"
"2024- 04- 29","13,830","13,480","13,830","13,400","29.32K","3.36%"
"2024- 04- 26","13,380","13,420","13,430","13,270","7.91K","-0.15%"
"2024- 04- 25","13,400","13,430","13,520","13,310","10.06K","-0.22%"
"2024- 04- 24","13,430","13,390","13,480","13,230","9.59K","0.30%"
"2024- 04- 23","13,390","13,170","13,420","13,170","10.08K","0.83%"
"2024- 04- 22","13,280","13,200","13,280","12,920","16.50K","0.61%"
"2024- 04- 19","13,200","13,200","13,300","12,980","9.67K","-0.38%"
"2024- 04- 18","13,250","12,990","13,250","12,990","13.39K","2.16%"
"2024- 04- 17","12,970","12,990","13,160","12,820","13.67K","-0.15%"
"2024- 04- 16","12,990","13,120","13,240","12,790","27.21K","-1.96%"
"2024- 04- 15","13,250","13,440","13,440","13,030","17.67K","-1.49%"
"2024- 04- 12","13,450","13,600","13,600","13,270","19.20K","-1.10%"
"2024- 04- 11","13,600","13,790","13,790","13,380","17.03K","-1.45%"
"2024- 04- 09","13,800","13,610","13,800","13,520","12.56K","1.40%"
"2024- 04- 08","13,610","13,730","13,730","13,350","7.30K","-0.15%"
"2024- 04- 05","13,630","13,660","13,660","13,500","18.11K","-0.07%"
"2024- 04- 04","13,640","13,630","13,770","13,500","13.67K","-0.44%"
"2024- 04- 03","13,700","13,800","13,800","13,540","16.21K","-0.72%"
"2024- 04- 02","13,800","14,060","14,060","13,740","23.87K","-1.85%"
"2024- 04- 01","14,060","14,160","14,160","13,900","18.07K","-0.78%"
"2024- 03- 29","14,170","14,120","14,200","13,930","33.33K","-0.21%"
"2024- 03- 28","14,200","14,300","14,300","14,060","13.62K","-0.49%"
"2024- 03- 27","14,270","14,390","14,420","14,210","10.84K","-0.83%"
"2024- 03- 26","14,390","14,450","14,500","14,290","14.14K","-0.42%"
"2024- 03- 25","14,450","14,230","14,490","14,230","20.18K","1.55%"
"2024- 03- 22","14,230","14,240","14,240","14,090","12.85K","-0.07%"
"2024- 03- 21","14,240","14,200","14,270","14,080","24.00K","0.00%"
"2024- 03- 20","14,240","14,300","14,480","14,140","31.90K","-0.42%"
"2024- 03- 19","14,300","14,450","14,730","14,250","46.96K","-2.39%"
"2024- 03- 18","14,650","14,100","15,000","14,100","117.35K","4.94%"
"2024- 03- 15","13,960","14,280","14,280","13,820","27.34K","-2.17%"
"2024- 03- 14","14,270","14,200","14,320","14,100","33.04K","0.35%"
"2024- 03- 13","14,220","14,230","14,360","14,070","18.12K","-0.07%"
"2024- 03- 12","14,230","14,460","14,460","14,120","18.38K","-1.66%"
"2024- 03- 11","14,470","14,520","14,660","14,190","25.35K","-0.28%"
"2024- 03- 10","14,510","14,510","14,510","14,510","","0.00%"
"2024- 03- 08","14,510","13,760","14,550","13,740","78.94K","5.14%"
"2024- 03- 07","13,800","13,630","13,910","13,490","28.84K","1.25%"
"2024- 03- 06","13,630","13,620","13,660","13,530","9.12K","0.15%"
"2024- 03- 05","13,610","13,780","13,780","13,540","10.04K","-0.37%"
"2024- 03- 04","13,660","13,700","13,700","13,550","20.89K","-0.29%"
"2024- 02- 29","13,700","13,790","13,790","13,650","12.54K","-0.72%"
"2024- 02- 28","13,800","13,830","13,830","13,690","8.93K","-0.36%"
"2024- 02- 27","13,850","13,970","14,080","13,710","20.12K","-1.77%"
"2024- 02- 26","14,100","14,330","14,330","13,900","14.68K","-1.19%"
"2024- 02- 23","14,270","13,840","14,360","13,770","57.24K","3.41%"
"2024- 02- 22","13,800","13,850","13,850","13,650","11.95K","-0.36%"
"2024- 02- 21","13,850","13,830","13,850","13,760","8.96K","0.07%"
"2024- 02- 20","13,840","13,860","13,860","13,770","8.73K","-0.07%"
"2024- 02- 19","13,850","13,740","13,880","13,740","11.89K","0.80%"
"2024- 02- 16","13,740","13,740","13,780","13,650","6.14K","0.00%"
"2024- 02- 15","13,740","13,750","13,850","13,640","17.16K","-0.65%"
"2024- 02- 14","13,830","13,800","13,900","13,770","7.88K","-0.50%"
"2024- 02- 13","13,900","13,920","13,970","13,790","16.57K","-0.14%"
"2024- 02- 08","13,920","13,960","14,030","13,790","14.53K","-0.78%"
"2024- 02- 07","14,030","13,830","14,030","13,800","16.63K","0.14%"
"2024- 02- 06","14,010","14,130","14,130","13,880","14.55K","-0.92%"
"2024- 02- 05","14,140","14,200","14,400","14,010","17.94K","1.00%"
"2024- 02- 04","14,000","14,000","14,000","14,000","","0.00%"
"2024- 02- 02","14,000","14,180","14,180","13,850","20.45K","1.08%"
"2024- 02- 01","13,850","13,670","13,850","13,410","23.21K","1.02%"
"2024- 01- 31","13,710","13,940","13,940","13,420","16.91K","-2.07%"
"2024- 01- 30","14,000","14,000","14,200","13,850","16.57K","-0.57%"
"2024- 01- 29","14,080","13,800","14,250","13,600","54.80K","5.07%"
"2024- 01- 28","13,400","13,400","13,400","13,400","","0.00%"
"2024- 01- 26","13,400","13,150","13,400","13,100","5.76K","1.90%"
"2024- 01- 25","13,150","13,190","13,240","13,050","10.31K","-0.30%"
"2024- 01- 24","13,190","13,300","14,410","13,100","44.99K","-0.83%"
"2024- 01- 23","13,300","13,130","13,370","13,130","7.36K","0.45%"
