"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","135,000","136,800","139,700","134,800","1.08M","-1.53%"
"2024- 04- 29","137,100","139,800","140,300","133,900","1.31M","-0.07%"
"2024- 04- 26","137,200","141,900","141,900","137,000","1.45M","0.51%"
"2024- 04- 25","136,500","139,000","142,500","136,100","1.79M","-4.28%"
"2024- 04- 24","142,600","137,100","146,300","136,000","4.05M","8.52%"
"2024- 04- 23","131,400","132,000","134,900","130,300","2.00M","3.38%"
"2024- 04- 22","127,100","132,100","132,900","125,400","2.66M","-6.82%"
"2024- 04- 19","136,400","139,200","141,200","131,800","2.38M","-4.35%"
"2024- 04- 18","142,600","135,500","143,000","133,300","2.18M","4.62%"
"2024- 04- 17","136,300","142,500","144,700","135,700","1.92M","-2.85%"
"2024- 04- 16","140,300","143,000","146,200","138,600","2.14M","-4.10%"
"2024- 04- 15","146,300","144,900","148,500","142,500","2.17M","0.55%"
"2024- 04- 12","145,500","149,700","153,100","145,400","4.30M","2.68%"
"2024- 04- 11","141,700","134,900","147,300","131,500","4.65M","6.62%"
"2024- 04- 09","132,900","132,000","137,500","130,100","1.60M","0.30%"
"2024- 04- 08","132,500","137,900","139,700","130,800","1.73M","-2.36%"
"2024- 04- 05","135,700","131,400","138,500","129,300","3.06M","-1.17%"
"2024- 04- 04","137,300","148,600","151,400","135,300","3.81M","-5.24%"
"2024- 04- 03","144,900","141,300","146,800","138,100","2.81M","-0.41%"
"2024- 04- 02","145,500","145,000","152,800","140,300","4.87M","2.25%"
"2024- 04- 01","142,300","134,100","146,300","134,100","4.87M","6.43%"
"2024- 03- 29","133,700","134,400","139,100","128,700","4.16M","-0.22%"
"2024- 03- 28","134,000","115,400","139,100","115,400","9.98M","17.13%"
"2024- 03- 27","114,400","110,300","119,000","109,100","4.29M","1.69%"
"2024- 03- 26","112,500","99,000","117,300","98,500","7.27M","15.50%"
"2024- 03- 25","97,400","95,700","101,900","95,400","3.81M","3.84%"
"2024- 03- 22","93,800","94,700","98,300","93,500","1.74M","0.00%"
"2024- 03- 21","93,800","95,100","95,800","92,800","1.17M","0.75%"
"2024- 03- 20","93,100","94,200","95,000","92,000","860.62K","-0.32%"
"2024- 03- 19","93,400","96,500","97,500","93,100","1.26M","-4.98%"
"2024- 03- 18","98,300","97,000","98,500","96,200","744.30K","2.18%"
"2024- 03- 17","96,200","96,200","96,200","96,200","","0.00%"
"2024- 03- 15","96,200","97,000","98,500","95,700","0.50K","-2.73%"
"2024- 03- 14","98,900","99,000","100,800","98,200","0.25K","-1.20%"
"2024- 03- 13","100,100","101,800","102,100","98,000","0.03K","2.04%"
"2024- 03- 12","98,100","97,700","100,000","96,400","0.03K","0.72%"
"2024- 03- 11","97,400","94,600","99,900","93,800","4.79K","-2.70%"
"2024- 03- 10","100,100","100,100","100,100","100,100","","0.00%"
"2024- 03- 08","100,100","102,600","105,000","98,100","3.07M","1.42%"
"2024- 03- 07","98,700","101,400","107,700","96,600","0.02K","-2.66%"
"2024- 03- 06","101,400","94,300","101,500","92,100","3.53M","6.96%"
"2024- 03- 05","94,800","96,000","97,600","93,500","2.52M","-0.63%"
"2024- 03- 04","95,400","87,800","101,400","87,800","8.00K","12.50%"
"2024- 03- 03","84,800","84,800","84,800","84,800","","0.00%"
"2024- 02- 29","84,800","87,700","88,700","84,500","2.62M","-5.88%"
"2024- 02- 28","90,100","82,200","91,100","80,100","0.93K","8.95%"
"2024- 02- 27","82,700","76,700","84,300","76,700","3.20K","6.44%"
"2024- 02- 26","77,700","73,900","85,000","73,900","4.03K","5.28%"
"2024- 02- 25","73,800","73,800","73,800","73,800","","0.00%"
"2024- 02- 23","73,800","79,100","79,300","72,800","2.21M","-3.40%"
"2024- 02- 22","76,400","75,700","76,700","73,500","2.89M","6.70%"
"2024- 02- 21","71,600","72,700","74,400","70,700","1.46M","-3.89%"
"2024- 02- 20","74,500","75,500","77,900","73,600","0.31K","0.00%"
"2024- 02- 19","74,500","74,800","77,000","73,700","0.05K","-1.19%"
"2024- 02- 18","75,400","75,400","75,400","75,400","","0.00%"
"2024- 02- 16","75,400","75,500","78,100","74,500","2.27M","-0.13%"
"2024- 02- 15","75,500","80,000","80,100","74,400","1.02K","-4.43%"
"2024- 02- 14","79,000","79,400","80,300","76,500","3.11M","-2.47%"
"2024- 02- 13","81,000","82,400","84,000","77,800","0.17K","3.18%"
"2024- 02- 12","78,500","78,500","78,500","78,500","","0.00%"
"2024- 02- 08","78,500","61,200","78,500","60,400","12.38M","29.97%"
"2024- 02- 07","60,400","60,600","60,700","59,600","0.00K","-0.98%"
"2024- 02- 06","61,000","59,500","61,500","58,400","1.09M","3.74%"
"2024- 02- 05","58,800","59,900","60,400","58,800","0.01K","-1.01%"
"2024- 02- 04","59,400","59,400","59,400","59,400","","0.00%"
"2024- 02- 02","59,400","58,200","61,200","58,100","1.37M","3.48%"
"2024- 02- 01","57,400","58,500","60,500","56,000","0.01K","-2.21%"
"2024- 01- 31","58,700","58,800","60,000","58,400","0.02K","-1.34%"
"2024- 01- 30","59,500","60,100","60,300","58,800","0.37K","-0.50%"
"2024- 01- 29","59,800","58,600","61,900","57,900","0.26K","1.87%"
"2024- 01- 28","58,700","58,700","58,700","58,700","","0.00%"
"2024- 01- 26","58,700","57,600","59,100","57,300","830.24K","1.73%"
"2024- 01- 25","57,700","59,900","60,300","57,500","0.46K","-2.53%"
"2024- 01- 24","59,200","58,100","59,500","57,800","0.01K","2.60%"
"2024- 01- 23","57,700","57,500","60,100","56,600","0.11K","0.00%"
"2024- 01- 22","57,700","59,000","59,100","56,800","0.80K","0.00%"
"2024- 01- 21","57,700","57,700","57,700","57,700","","0.00%"
"2024- 01- 19","57,700","58,100","58,400","56,300","1.27M","2.67%"
"2024- 01- 18","56,200","52,600","56,500","51,800","0.05K","7.25%"
"2024- 01- 17","52,400","53,400","53,700","52,100","0.09K","-0.57%"
"2024- 01- 16","52,700","55,900","56,200","51,100","1.03K","-6.23%"
"2024- 01- 15","56,200","57,200","57,700","55,000","0.04K","-1.58%"
"2024- 01- 14","57,100","57,100","57,100","57,100","","0.00%"
"2024- 01- 12","57,100","58,800","58,900","57,100","526.50K","-3.22%"
"2024- 01- 11","59,000","58,500","59,000","58,200","0.02K","1.03%"
"2024- 01- 10","58,400","58,700","58,800","57,200","537.25K","-0.51%"
"2024- 01- 09","58,700","59,900","60,500","58,000","0.01K","1.03%"
"2024- 01- 08","58,100","58,400","59,300","58,000","381.60K","-1.19%"
"2024- 01- 07","58,800","58,800","58,800","58,800","","0.00%"
"2024- 01- 05","58,800","58,900","59,400","57,900","571.47K","-0.34%"
"2024- 01- 04","59,000","59,200","60,000","58,200","0.24K","-0.84%"
"2024- 01- 03","59,500","59,400","60,600","59,100","0.04K","-2.14%"
"2024- 01- 02","60,800","61,700","63,700","60,100","1.33M","-1.46%"
