"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","34,000","34,350","34,750","33,800","128.50K","-1.73%"
"2024- 04- 29","34,600","33,800","34,650","33,450","105.34K","3.28%"
"2024- 04- 26","33,500","33,450","33,600","33,250","55.56K","0.60%"
"2024- 04- 25","33,300","33,400","33,800","33,250","70.29K","-1.33%"
"2024- 04- 24","33,750","33,500","33,800","33,150","113.87K","1.35%"
"2024- 04- 23","33,300","32,850","33,500","32,700","104.56K","1.37%"
"2024- 04- 22","32,850","32,350","33,050","32,250","123.39K","2.66%"
"2024- 04- 19","32,000","32,400","32,500","31,250","187.39K","-2.14%"
"2024- 04- 18","32,700","31,750","33,050","31,850","210.82K","2.99%"
"2024- 04- 17","31,750","32,650","33,000","31,700","227.09K","-3.20%"
"2024- 04- 16","32,800","33,350","33,900","32,700","209.71K","-3.24%"
"2024- 04- 15","33,900","34,200","34,800","33,650","175.90K","-3.14%"
"2024- 04- 12","35,000","35,450","35,350","34,600","167.74K","-1.41%"
"2024- 04- 11","35,500","34,550","35,750","33,800","342.89K","1.00%"
"2024- 04- 09","35,150","36,550","37,000","34,900","323.91K","-4.22%"
"2024- 04- 08","36,700","37,650","38,200","36,600","232.00K","-3.93%"
"2024- 04- 05","38,200","38,500","39,100","37,950","338.73K","1.33%"
"2024- 04- 04","37,700","39,400","39,450","37,550","251.47K","-2.84%"
"2024- 04- 03","38,800","38,700","40,350","38,250","856.18K","1.84%"
"2024- 04- 02","38,100","37,000","38,350","36,950","425.20K","2.28%"
"2024- 04- 01","37,250","38,450","38,800","36,650","658.65K","-2.74%"
"2024- 03- 29","38,300","41,950","42,550","38,300","1.65M","-13.64%"
"2024- 03- 28","44,350","41,350","47,000","38,000","2.78M","9.10%"
"2024- 03- 27","40,650","41,200","43,650","40,150","893.21K","0.00%"
"2024- 03- 26","40,650","43,700","44,150","39,350","946.98K","-7.30%"
"2024- 03- 25","43,850","45,000","45,000","43,000","751.09K","4.16%"
"2024- 03- 22","42,100","41,800","43,000","41,200","293.92K","1.69%"
"2024- 03- 21","41,400","39,950","41,400","39,850","257.04K","4.28%"
"2024- 03- 20","39,700","39,800","40,450","38,850","159.28K","0.63%"
"2024- 03- 19","39,450","39,750","40,300","39,300","121.70K","-0.63%"
"2024- 03- 18","39,700","39,800","40,550","39,600","93.30K","-0.25%"
"2024- 03- 17","39,800","39,800","39,800","39,800","","0.00%"
"2024- 03- 15","39,800","40,500","40,500","39,400","0.05K","-1.85%"
"2024- 03- 14","40,550","40,500","40,950","39,900","0.18K","0.00%"
"2024- 03- 13","40,550","39,650","40,850","39,300","0.01K","2.66%"
"2024- 03- 12","39,500","40,450","40,500","39,100","0.03K","-1.13%"
"2024- 03- 11","39,950","39,400","40,100","39,300","0.01K","2.70%"
"2024- 03- 10","38,900","38,900","38,900","38,900","","0.00%"
"2024- 03- 08","38,900","38,050","39,050","37,750","218.17K","3.46%"
"2024- 03- 07","37,600","39,850","40,350","37,550","369.84K","-5.76%"
"2024- 03- 06","39,900","39,500","39,900","38,650","155.42K","1.01%"
"2024- 03- 05","39,500","39,500","40,150","39,400","208.29K","-0.38%"
"2024- 03- 04","39,650","41,400","41,750","39,350","0.18K","-3.76%"
"2024- 03- 03","41,200","41,200","41,200","41,200","","0.00%"
"2024- 02- 29","41,200","42,500","42,550","41,100","273.11K","-3.17%"
"2024- 02- 28","42,550","43,950","44,000","42,400","0.29K","-3.30%"
"2024- 02- 27","44,000","42,100","44,000","41,900","0.00K","5.52%"
"2024- 02- 26","41,700","41,550","43,100","41,550","175.90K","-0.24%"
"2024- 02- 25","41,800","41,800","41,800","41,800","","0.00%"
"2024- 02- 23","41,800","41,300","42,600","41,300","277.79K","1.21%"
"2024- 02- 22","41,300","42,750","43,000","41,000","0.05K","-3.39%"
"2024- 02- 21","42,750","42,550","44,150","42,500","265.61K","0.47%"
"2024- 02- 20","42,550","43,700","45,250","42,400","0.78K","-2.63%"
"2024- 02- 19","43,700","43,600","44,450","42,750","0.01K","-0.23%"
"2024- 02- 18","43,800","43,800","43,800","43,800","","0.00%"
"2024- 02- 16","43,800","42,400","44,800","42,350","470.76K","3.79%"
"2024- 02- 15","42,200","43,950","44,050","42,050","0.00K","-3.43%"
"2024- 02- 14","43,700","44,750","44,850","43,050","518.93K","-1.69%"
"2024- 02- 13","44,450","42,600","45,500","42,050","4.06K","6.98%"
"2024- 02- 12","41,550","41,550","41,550","41,550","","0.00%"
"2024- 02- 08","41,550","41,650","41,850","41,200","300.14K","-0.24%"
"2024- 02- 07","41,650","41,650","42,200","40,950","319.52K","-0.36%"
"2024- 02- 06","41,800","39,350","41,800","39,100","310.65K","5.42%"
"2024- 02- 05","39,650","41,300","41,550","39,650","0.90K","-3.06%"
"2024- 02- 02","40,900","40,600","41,100","40,050","282.41K","0.62%"
"2024- 02- 01","40,650","39,550","40,850","39,150","0.34K","3.70%"
