"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","327,000","327,000","333,000","323,000","46.09K","0.93%"
"2024- 05- 07","324,000","321,000","325,000","321,000","35.78K","2.21%"
"2024- 05- 03","317,000","322,000","322,000","316,000","17.79K","-0.78%"
"2024- 05- 02","319,500","319,000","321,500","317,000","30.82K","0.95%"
"2024- 04- 30","316,500","316,500","321,500","315,500","35.88K","-0.63%"
"2024- 04- 29","318,500","313,500","319,000","313,000","27.69K","2.58%"
"2024- 04- 26","310,500","311,000","314,500","308,500","21.65K","0.16%"
"2024- 04- 25","310,000","314,000","317,000","310,000","15.20K","-1.59%"
"2024- 04- 24","315,000","316,000","316,500","312,000","14.86K","0.16%"
"2024- 04- 23","314,500","314,500","317,000","310,500","14.66K","0.32%"
"2024- 04- 22","313,500","313,000","318,500","311,500","19.22K","1.62%"
"2024- 04- 19","308,500","312,000","312,000","304,500","23.42K","-2.37%"
"2024- 04- 18","316,000","299,000","316,000","299,000","40.53K","6.22%"
"2024- 04- 17","297,500","298,500","302,500","296,000","32.62K","-0.83%"
"2024- 04- 16","300,000","302,000","305,500","298,500","25.67K","-1.96%"
"2024- 04- 15","306,000","314,500","314,500","305,500","27.92K","-3.16%"
"2024- 04- 12","316,000","312,000","318,000","306,500","30.13K","0.96%"
"2024- 04- 11","313,000","303,000","313,000","302,000","47.71K","2.29%"
"2024- 04- 09","306,000","306,000","312,000","305,500","22.41K","-0.97%"
"2024- 04- 08","309,000","314,500","314,500","307,000","30.24K","-1.75%"
"2024- 04- 05","314,500","310,500","317,500","310,500","25.12K","0.00%"
"2024- 04- 04","314,500","313,000","318,000","313,000","30.08K","1.13%"
"2024- 04- 03","311,000","321,500","325,000","310,500","72.07K","-2.96%"
"2024- 04- 02","320,500","325,500","328,000","320,000","57.45K","-2.29%"
"2024- 04- 01","328,000","334,500","334,500","327,000","35.27K","-1.50%"
"2024- 03- 29","333,000","342,000","344,000","322,000","107.32K","-2.63%"
"2024- 03- 28","342,000","345,000","348,500","339,500","56.06K","-0.87%"
"2024- 03- 27","345,000","346,000","347,500","338,000","43.74K","-0.43%"
"2024- 03- 26","346,500","347,500","349,000","330,500","70.36K","-0.14%"
"2024- 03- 25","347,000","339,000","350,000","337,000","113.96K","4.20%"
"2024- 03- 22","333,000","334,000","336,000","330,500","34.96K","-0.30%"
"2024- 03- 21","334,000","328,500","334,000","325,500","40.41K","2.30%"
"2024- 03- 20","326,500","328,500","333,000","322,000","37.10K","0.15%"
"2024- 03- 19","326,000","327,500","327,500","320,000","27.20K","-0.31%"
"2024- 03- 18","327,000","323,000","331,000","323,000","40.29K","1.71%"
"2024- 03- 15","321,500","335,000","338,000","321,000","59.28K","-3.45%"
"2024- 03- 14","333,000","336,500","338,500","328,500","0.03K","-1.04%"
"2024- 03- 13","336,500","339,000","339,000","331,500","0.00K","-0.44%"
"2024- 03- 12","338,000","335,000","345,000","330,500","60.55K","0.90%"
"2024- 03- 11","335,000","340,500","349,000","333,500","0.01K","0.30%"
"2024- 03- 10","334,000","334,000","334,000","334,000","","0.00%"
"2024- 03- 08","334,000","321,500","335,000","321,500","60.87K","5.53%"
"2024- 03- 07","316,500","327,000","329,500","315,000","42.14K","-3.51%"
"2024- 03- 06","328,000","323,000","329,500","318,000","40.90K","1.86%"
"2024- 03- 05","322,000","323,000","327,000","320,000","30.58K","-0.31%"
"2024- 03- 04","323,000","334,000","338,500","322,500","61.11K","-3.29%"
"2024- 02- 29","334,000","336,000","340,000","333,000","29.70K","-1.47%"
"2024- 02- 28","339,000","337,500","340,500","332,500","0.01K","0.89%"
"2024- 02- 27","336,000","341,500","345,000","333,000","37.68K","-0.59%"
"2024- 02- 26","338,000","332,000","346,500","332,000","48.01K","1.81%"
"2024- 02- 23","332,000","333,000","338,500","330,000","42.06K","-0.45%"
"2024- 02- 22","333,500","345,000","346,000","329,500","43.32K","-3.19%"
"2024- 02- 21","344,500","344,500","348,000","338,000","37.26K","0.73%"
"2024- 02- 20","342,000","339,000","352,500","336,000","0.00K","1.63%"
"2024- 02- 19","336,500","336,000","341,500","333,000","0.00K","0.30%"
"2024- 02- 16","335,500","334,000","338,000","332,000","21.65K","1.36%"
"2024- 02- 15","331,000","339,000","339,500","331,000","28.59K","-1.49%"
"2024- 02- 14","336,000","336,500","338,500","328,500","23.55K","-1.03%"
"2024- 02- 13","339,500","338,000","342,000","334,000","0.01K","1.49%"
"2024- 02- 08","334,500","339,500","341,000","333,000","34.35K","-0.74%"
"2024- 02- 07","337,000","323,500","340,500","320,500","0.00K","4.82%"
"2024- 02- 06","321,500","314,500","323,000","314,000","39.80K","2.23%"
"2024- 02- 05","314,500","326,000","335,000","313,000","77.27K","-1.26%"
"2024- 02- 02","318,500","316,000","320,500","314,500","29.27K","0.95%"
"2024- 02- 01","315,500","323,500","324,000","311,500","58.36K","-2.62%"
"2024- 01- 31","324,000","329,500","331,500","322,000","0.02K","-1.82%"
"2024- 01- 30","330,000","335,500","336,000","325,500","30.07K","-1.35%"
"2024- 01- 29","334,500","339,000","346,500","334,000","37.78K","-1.04%"
"2024- 01- 28","338,000","338,000","338,000","338,000","","0.00%"
"2024- 01- 26","338,000","333,000","343,500","330,500","42.05K","1.81%"
"2024- 01- 25","332,000","324,500","336,000","323,500","0.01K","2.15%"
"2024- 01- 24","325,000","327,500","327,500","323,500","19.56K","-0.46%"
