"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","34,900","35,850","35,850","34,150","261.91K","-2.65%"
"2024- 05- 07","35,850","35,900","36,400","35,500","247.99K","1.70%"
"2024- 05- 03","35,250","35,850","36,400","35,250","215.21K","-1.12%"
"2024- 05- 02","35,650","36,500","36,500","35,400","205.24K","-1.25%"
"2024- 04- 30","36,100","35,150","36,450","34,950","379.82K","2.12%"
"2024- 04- 29","35,350","34,550","35,550","34,500","170.60K","1.73%"
"2024- 04- 26","34,750","34,500","36,100","34,050","278.52K","0.87%"
"2024- 04- 25","34,450","35,000","35,550","34,400","144.25K","-2.41%"
"2024- 04- 24","35,300","35,350","36,000","34,800","264.10K","0.14%"
"2024- 04- 23","35,250","34,400","35,450","34,000","272.67K","1.73%"
"2024- 04- 22","34,650","32,950","34,750","32,800","493.13K","7.94%"
"2024- 04- 19","32,100","32,800","33,100","31,650","217.55K","-3.60%"
"2024- 04- 18","33,300","31,600","33,450","31,600","235.67K","4.39%"
"2024- 04- 17","31,900","32,700","33,150","31,900","190.65K","-2.74%"
"2024- 04- 16","32,800","32,550","33,100","32,100","201.34K","-0.30%"
"2024- 04- 15","32,900","33,700","33,950","32,700","217.26K","-3.80%"
"2024- 04- 12","34,200","32,100","34,600","31,900","440.49K","7.55%"
"2024- 04- 11","31,800","31,550","32,300","31,450","197.58K","-1.55%"
"2024- 04- 09","32,300","32,100","33,050","31,950","203.56K","0.47%"
"2024- 04- 08","32,150","33,000","33,000","32,100","242.68K","-2.58%"
"2024- 04- 05","33,000","33,000","33,850","32,750","355.70K","-2.94%"
"2024- 04- 04","34,000","34,350","34,900","33,800","329.72K","0.00%"
"2024- 04- 03","34,000","35,150","35,750","33,700","686.15K","-5.03%"
"2024- 04- 02","35,800","37,850","37,900","35,550","1.01M","-6.53%"
"2024- 04- 01","38,300","37,350","39,150","37,100","490.75K","2.41%"
"2024- 03- 29","37,400","38,150","38,600","37,000","603.95K","-1.71%"
"2024- 03- 28","38,050","38,850","39,250","38,000","427.12K","-1.55%"
"2024- 03- 27","38,650","40,800","40,800","37,600","863.73K","-4.09%"
"2024- 03- 26","40,300","40,000","41,550","39,250","1.21M","-0.62%"
"2024- 03- 25","40,550","38,350","41,400","38,000","1.45M","6.43%"
"2024- 03- 22","38,100","38,650","39,000","38,000","435.12K","-0.39%"
"2024- 03- 21","38,250","36,900","38,500","36,900","541.84K","4.79%"
"2024- 03- 20","36,500","38,000","38,350","36,400","445.07K","-2.93%"
"2024- 03- 19","37,600","37,800","38,500","36,750","476.40K","0.80%"
"2024- 03- 18","37,300","36,000","38,150","36,000","586.51K","3.61%"
"2024- 03- 17","36,000","37,800","36,000","36,000","0.18K","0.00%"
"2024- 03- 15","36,000","37,800","38,250","35,350","787.55K","-6.61%"
"2024- 03- 14","38,550","39,250","39,950","37,600","0.12K","-1.53%"
"2024- 03- 13","39,150","39,800","41,450","38,150","0.24K","0.51%"
"2024- 03- 12","38,950","38,950","39,800","38,100","801.77K","-0.89%"
"2024- 03- 11","39,300","39,900","41,550","38,650","0.24K","1.81%"
"2024- 03- 10","38,600","38,600","38,600","38,600","","0.00%"
"2024- 03- 08","38,600","35,800","38,600","35,300","1.71M","7.97%"
"2024- 03- 07","35,750","36,100","39,750","35,450","0.48K","0.28%"
"2024- 03- 06","35,650","34,800","36,000","33,750","1.08K","1.42%"
"2024- 03- 05","35,150","34,800","35,650","34,400","0.34K","0.72%"
"2024- 03- 04","34,900","34,400","35,250","33,750","344.25K","0.29%"
"2024- 03- 03","34,800","34,800","34,800","34,800","","0.00%"
"2024- 02- 29","34,800","35,650","36,050","34,550","306.40K","-3.47%"
"2024- 02- 28","36,050","35,100","36,300","33,900","0.02K","3.89%"
"2024- 02- 27","34,700","37,400","37,600","34,500","0.01K","-6.59%"
"2024- 02- 26","37,150","36,800","38,400","36,300","790.12K","1.36%"
"2024- 02- 25","36,650","36,650","36,650","36,650","","0.00%"
"2024- 02- 23","36,650","36,500","39,150","36,250","1.43M","0.96%"
"2024- 02- 22","36,300","35,900","37,500","35,700","13.62K","0.41%"
"2024- 02- 21","36,150","35,800","37,300","35,700","0.47K","2.26%"
"2024- 02- 20","35,350","35,600","36,050","35,200","0.11K","-0.42%"
"2024- 02- 19","35,500","34,600","36,400","34,100","311.96K","2.01%"
"2024- 02- 18","34,800","34,800","34,800","34,800","","0.00%"
"2024- 02- 16","34,800","35,550","36,450","34,700","292.76K","-1.14%"
"2024- 02- 15","35,200","35,200","36,700","34,950","499.75K","0.72%"
"2024- 02- 14","34,950","34,400","35,700","34,150","0.00K","-0.71%"
"2024- 02- 13","35,200","32,600","35,350","32,500","0.06K","8.31%"
"2024- 02- 12","32,500","32,500","32,500","32,500","","0.00%"
"2024- 02- 08","32,500","32,050","33,550","31,800","476.35K","0.00%"
"2024- 02- 07","32,500","32,750","33,450","32,250","0.29K","-1.81%"
"2024- 02- 06","33,100","30,350","33,350","30,350","1.19M","10.33%"
"2024- 02- 05","30,000","29,750","30,600","29,400","0.05K","-0.17%"
"2024- 02- 04","30,050","30,050","30,050","30,050","","0.00%"
"2024- 02- 02","30,050","29,150","30,450","29,150","394.24K","3.98%"
"2024- 02- 01","28,900","30,500","30,950","28,550","0.02K","-6.32%"
"2024- 01- 31","30,850","32,400","32,450","30,550","0.01K","-5.80%"
"2024- 01- 30","32,750","33,050","33,200","32,350","0.94K","-0.30%"
"2024- 01- 29","32,850","34,900","34,950","32,600","0.20K","-5.33%"
"2024- 01- 28","34,700","34,700","34,700","34,700","","0.00%"
"2024- 01- 26","34,700","33,350","35,400","33,100","463.78K","3.12%"
"2024- 01- 25","33,650","33,600","34,050","33,050","0.28K","0.75%"
"2024- 01- 24","33,400","34,100","34,100","33,050","377.32K","-1.76%"
"2024- 01- 23","34,000","34,500","34,700","33,600","1.01K","-1.16%"
"2024- 01- 22","34,400","34,750","34,850","34,050","315.27K","-0.15%"
"2024- 01- 21","34,450","34,450","34,450","34,450","","0.00%"
"2024- 01- 19","34,450","36,000","36,100","34,100","533.98K","-3.64%"
"2024- 01- 18","35,750","36,200","36,500","35,400","0.19K","-0.97%"
"2024- 01- 17","36,100","37,450","37,500","36,000","0.10K","-3.35%"
