"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,395","3,300","3,430","3,280","156.27K","2.11%"
"2024- 05- 07","3,325","3,360","3,370","3,285","99.41K","0.76%"
"2024- 05- 03","3,300","3,195","3,320","3,195","107.94K","3.13%"
"2024- 05- 02","3,200","3,165","3,250","3,165","53.13K","0.00%"
"2024- 04- 30","3,200","3,245","3,275","3,200","52.10K","-0.16%"
"2024- 04- 29","3,205","3,195","3,240","3,150","78.37K","2.23%"
"2024- 04- 26","3,135","3,200","3,220","3,135","46.47K","-1.10%"
"2024- 04- 25","3,170","3,195","3,240","3,165","61.36K","-1.86%"
"2024- 04- 24","3,230","3,215","3,270","3,185","132.03K","2.54%"
"2024- 04- 23","3,150","3,100","3,240","3,100","162.29K","2.11%"
"2024- 04- 22","3,085","3,045","3,155","3,045","57.08K","0.16%"
"2024- 04- 19","3,080","3,200","3,330","3,050","244.52K","-2.84%"
"2024- 04- 18","3,170","3,085","3,210","3,085","86.49K","3.59%"
"2024- 04- 17","3,060","3,055","3,150","3,055","76.97K","0.16%"
"2024- 04- 16","3,055","3,160","3,340","3,025","416.38K","-3.93%"
"2024- 04- 15","3,180","3,265","3,265","3,150","117.89K","-2.60%"
"2024- 04- 12","3,265","3,260","3,265","3,190","116.45K","1.24%"
"2024- 04- 11","3,225","3,300","3,320","3,210","82.26K","-1.68%"
"2024- 04- 09","3,280","3,290","3,340","3,240","94.18K","-0.30%"
"2024- 04- 08","3,290","3,340","3,435","3,235","129.74K","0.30%"
"2024- 04- 05","3,280","3,325","3,405","3,265","128.86K","-2.67%"
"2024- 04- 04","3,370","3,285","3,650","3,215","1.03M","3.69%"
"2024- 04- 03","3,250","3,375","3,375","3,240","125.12K","-2.55%"
"2024- 04- 02","3,335","3,400","3,445","3,335","119.45K","-2.63%"
"2024- 04- 01","3,425","3,335","3,470","3,335","198.80K","3.47%"
"2024- 03- 29","3,310","3,345","3,440","3,310","136.15K","-0.15%"
"2024- 03- 28","3,315","3,445","3,445","3,305","157.28K","-3.07%"
"2024- 03- 27","3,420","3,280","3,490","3,230","216.94K","4.27%"
"2024- 03- 26","3,280","3,235","3,310","3,150","131.14K","1.23%"
"2024- 03- 25","3,240","3,310","3,310","3,240","205.19K","-2.11%"
"2024- 03- 22","3,310","3,350","3,350","3,265","127.29K","-0.60%"
"2024- 03- 21","3,330","3,365","3,405","3,305","173.43K","0.00%"
"2024- 03- 20","3,330","3,380","3,415","3,300","158.96K","-1.48%"
"2024- 03- 19","3,380","3,475","3,500","3,350","159.74K","-2.73%"
"2024- 03- 18","3,475","3,470","3,490","3,420","89.37K","0.00%"
"2024- 03- 15","3,475","3,470","3,500","3,410","1.48K","0.72%"
"2024- 03- 14","3,450","3,700","3,700","3,440","0.01K","-4.96%"
"2024- 03- 13","3,630","3,570","3,650","3,525","137.52K","2.98%"
"2024- 03- 12","3,525","3,630","3,630","3,490","148.10K","-1.12%"
"2024- 03- 11","3,565","3,625","3,665","3,560","133.29K","-1.52%"
"2024- 03- 08","3,620","3,700","3,740","3,605","166.25K","-2.16%"
"2024- 03- 07","3,700","3,760","3,820","3,660","157.87K","-1.60%"
"2024- 03- 06","3,760","3,850","3,880","3,700","116.32K","0.00%"
"2024- 03- 05","3,760","3,820","3,890","3,755","0.34K","-2.59%"
"2024- 03- 04","3,860","3,840","3,940","3,830","99.32K","0.52%"
"2024- 02- 29","3,840","3,885","3,935","3,800","182.79K","-2.17%"
"2024- 02- 28","3,925","3,975","3,995","3,895","0.13K","-0.63%"
"2024- 02- 27","3,950","4,030","4,035","3,865","301.88K","-1.99%"
"2024- 02- 26","4,030","4,025","4,085","3,945","170.99K","0.12%"
"2024- 02- 23","4,025","4,170","4,200","3,995","194.04K","-2.90%"
"2024- 02- 22","4,145","4,085","4,220","4,070","141.31K","0.36%"
"2024- 02- 21","4,130","4,165","4,220","4,080","1.10K","-2.02%"
"2024- 02- 20","4,215","4,300","4,340","4,180","194.32K","-2.66%"
"2024- 02- 19","4,330","4,360","4,445","4,305","0.13K","-1.48%"
"2024- 02- 18","4,395","4,395","4,395","4,395","","0.00%"
"2024- 02- 16","4,395","4,250","4,480","4,135","734.30K","4.27%"
"2024- 02- 15","4,215","4,370","4,375","4,200","222.73K","-2.54%"
"2024- 02- 14","4,325","4,180","4,325","4,110","233.54K","0.58%"
"2024- 02- 13","4,300","4,120","4,300","4,075","0.04K","4.50%"
"2024- 02- 12","4,115","4,115","4,115","4,115","","0.00%"
"2024- 02- 08","4,115","3,995","4,180","3,995","302.06K","3.00%"
"2024- 02- 07","3,995","3,960","4,050","3,915","219.41K","-0.50%"
"2024- 02- 06","4,015","4,010","4,090","3,900","265.50K","0.12%"
"2024- 02- 05","4,010","4,125","4,125","3,970","1.59K","-1.35%"
"2024- 02- 02","4,065","3,860","4,260","3,860","648.31K","5.58%"
"2024- 02- 01","3,850","3,860","3,970","3,790","0.07K","-2.04%"
"2024- 01- 31","3,930","4,080","4,175","3,930","0.01K","-5.76%"
"2024- 01- 30","4,170","4,055","4,300","4,025","0.01K","2.96%"
"2024- 01- 29","4,050","4,575","4,665","3,960","0.98K","-11.18%"
"2024- 01- 28","4,560","4,560","4,560","4,560","","0.00%"
"2024- 01- 26","4,560","4,400","4,820","4,320","1.82M","2.82%"
"2024- 01- 25","4,435","4,435","4,645","4,355","1.02M","-1.44%"
"2024- 01- 24","4,500","4,670","4,710","4,500","1.18M","-2.28%"
"2024- 01- 23","4,605","4,600","4,975","4,405","4.68M","-2.13%"
"2024- 01- 22","4,705","4,380","5,040","4,230","29.17M","9.67%"
"2024- 01- 21","4,290","4,290","4,290","4,290","","0.00%"
"2024- 01- 19","4,290","3,855","4,600","3,820","11.10M","12.60%"
"2024- 01- 18","3,810","3,655","3,835","3,655","0.80K","2.42%"
"2024- 01- 17","3,720","3,870","3,935","3,680","555.62K","-4.62%"
"2024- 01- 16","3,900","3,940","3,960","3,795","0.05K","-0.26%"
"2024- 01- 15","3,910","3,810","3,955","3,750","0.69K","1.30%"
"2024- 01- 14","3,860","3,860","3,860","3,860","","0.00%"
"2024- 01- 12","3,860","4,040","4,075","3,825","1.19M","-5.51%"
"2024- 01- 11","4,085","4,180","4,215","3,995","0.12K","-4.11%"
"2024- 01- 10","4,260","3,955","4,725","3,845","3.67K","7.44%"
"2024- 01- 09","3,965","3,970","4,190","3,830","2.03K","-1.98%"
"2024- 01- 08","4,045","3,455","4,255","3,440","3.54K","17.08%"
"2024- 01- 07","3,455","3,455","3,455","3,455","","0.00%"
"2024- 01- 05","3,455","3,250","3,615","3,225","2.26M","5.66%"
"2024- 01- 04","3,270","3,355","3,375","3,260","290.44K","-4.11%"
"2024- 01- 03","3,410","3,360","3,435","3,280","455.89K","1.49%"
"2024- 01- 02","3,360","3,325","3,415","3,320","389.66K","1.20%"
