"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","2,950","2,925","2,950","2,885","1.65M","0.00%"
"2024- 04- 29","2,950","2,925","2,950","2,895","1.58M","1.20%"
"2024- 04- 26","2,915","2,930","2,950","2,875","2.12M","0.17%"
"2024- 04- 25","2,910","2,860","2,940","2,845","2.17M","1.39%"
"2024- 04- 24","2,870","2,855","2,885","2,825","1.79M","1.59%"
"2024- 04- 23","2,825","2,795","2,865","2,765","2.20M","1.80%"
"2024- 04- 22","2,775","2,650","2,780","2,635","2.69M","5.71%"
"2024- 04- 19","2,625","2,615","2,640","2,585","1.62M","-0.38%"
"2024- 04- 18","2,635","2,635","2,655","2,610","1.27M","0.38%"
"2024- 04- 17","2,625","2,625","2,645","2,605","711.46K","0.38%"
"2024- 04- 16","2,615","2,620","2,625","2,580","1.14M","-1.32%"
"2024- 04- 15","2,650","2,610","2,650","2,585","1.74M","0.76%"
"2024- 04- 12","2,630","2,710","2,745","2,620","3.34M","-3.31%"
"2024- 04- 11","2,720","2,765","2,790","2,700","2.30M","-3.55%"
"2024- 04- 09","2,820","2,870","2,910","2,815","1.10M","-1.40%"
"2024- 04- 08","2,860","2,805","2,885","2,805","1.37M","1.96%"
"2024- 04- 05","2,805","2,845","2,860","2,805","1.43M","-1.92%"
"2024- 04- 04","2,860","2,845","2,885","2,835","887.00K","1.06%"
"2024- 04- 03","2,830","2,865","2,875","2,820","1.43M","-1.05%"
"2024- 04- 02","2,860","2,825","2,890","2,820","1.46M","0.88%"
"2024- 04- 01","2,835","2,835","2,865","2,810","1.69M","0.00%"
"2024- 03- 29","2,835","2,910","2,920","2,810","2.78M","-2.24%"
"2024- 03- 28","2,900","2,910","2,965","2,885","3.63M","-3.81%"
"2024- 03- 27","3,015","3,075","3,085","2,985","3.94M","-2.27%"
"2024- 03- 26","3,085","3,115","3,150","3,075","1.96M","-0.80%"
"2024- 03- 25","3,110","3,205","3,205","3,100","2.16M","-2.66%"
"2024- 03- 22","3,195","3,260","3,285","3,185","1.84M","-1.69%"
"2024- 03- 21","3,250","3,200","3,265","3,195","2.35M","2.52%"
"2024- 03- 20","3,170","3,175","3,250","3,160","1.72M","0.32%"
"2024- 03- 19","3,160","3,160","3,240","3,150","1.95M","-0.94%"
"2024- 03- 18","3,190","3,275","3,280","3,155","2.13M","-1.85%"
"2024- 03- 15","3,250","3,260","3,345","3,205","4.70M","-0.46%"
"2024- 03- 14","3,265","3,200","3,285","3,170","0.20K","2.35%"
"2024- 03- 13","3,190","3,155","3,245","3,145","0.00K","1.27%"
"2024- 03- 12","3,150","3,145","3,170","3,115","1.93M","0.64%"
"2024- 03- 11","3,130","3,120","3,155","3,100","1.39M","-0.63%"
"2024- 03- 10","3,150","3,150","3,150","3,150","","0.00%"
"2024- 03- 08","3,150","3,260","3,275","3,145","1.97M","-1.56%"
"2024- 03- 07","3,200","3,185","3,220","3,120","2.61M","0.95%"
"2024- 03- 06","3,170","3,135","3,210","3,120","0.20K","0.32%"
"2024- 03- 05","3,160","3,225","3,275","3,150","0.03K","-2.62%"
"2024- 03- 04","3,245","3,185","3,310","3,185","2.81M","3.02%"
"2024- 03- 03","3,150","3,150","3,150","3,150","","0.00%"
"2024- 02- 29","3,150","3,120","3,185","3,100","3.21M","1.61%"
"2024- 02- 28","3,100","3,010","3,120","2,990","2.96M","2.31%"
"2024- 02- 27","3,030","3,055","3,090","3,010","1.76K","-0.98%"
"2024- 02- 26","3,060","3,230","3,230","3,005","0.03K","-9.60%"
"2024- 02- 25","3,385","3,385","3,385","3,385","","0.00%"
"2024- 02- 23","3,385","3,405","3,515","3,355","4.52M","0.74%"
"2024- 02- 22","3,360","3,465","3,475","3,320","3.45M","-1.61%"
"2024- 02- 21","3,415","3,400","3,515","3,370","0.25K","0.74%"
"2024- 02- 20","3,390","3,510","3,525","3,340","2.43K","-3.28%"
"2024- 02- 19","3,505","3,415","3,555","3,405","0.00K","1.89%"
"2024- 02- 18","3,440","3,440","3,440","3,440","","0.00%"
"2024- 02- 16","3,440","3,380","3,460","3,330","4.25M","2.23%"
"2024- 02- 15","3,365","3,445","3,455","3,310","0.10K","-2.60%"
"2024- 02- 14","3,455","3,490","3,605","3,385","2.50K","-2.68%"
"2024- 02- 13","3,550","3,655","3,815","3,515","34.07K","-2.61%"
"2024- 02- 12","3,645","3,645","3,645","3,645","","0.00%"
"2024- 02- 08","3,645","3,605","3,780","3,585","5.78M","-0.41%"
"2024- 02- 07","3,660","3,545","3,690","3,470","1.04K","3.24%"
"2024- 02- 06","3,545","3,690","3,745","3,495","7.33M","-3.93%"
"2024- 02- 05","3,690","3,585","3,740","3,460","3.54K","4.24%"
"2024- 02- 04","3,540","3,540","3,540","3,540","","0.00%"
"2024- 02- 02","3,540","3,470","3,580","3,235","19.60M","5.51%"
"2024- 02- 01","3,355","3,005","3,580","2,995","0.00K","10.54%"
"2024- 01- 31","3,035","2,995","3,040","2,940","0.82K","0.83%"
"2024- 01- 30","3,010","2,800","3,100","2,795","1.08K","8.47%"
"2024- 01- 29","2,775","2,655","2,800","2,650","3.48M","4.52%"
"2024- 01- 26","2,655","2,670","2,710","2,650","818.42K","-1.30%"
"2024- 01- 25","2,690","2,680","2,705","2,645","793.34K","0.19%"
"2024- 01- 24","2,685","2,615","2,710","2,580","2.38M","2.48%"
"2024- 01- 23","2,620","2,480","2,630","2,475","0.02K","6.07%"
"2024- 01- 22","2,470","2,450","2,490","2,445","559.59K","1.23%"
"2024- 01- 19","2,440","2,450","2,475","2,440","950.51K","0.21%"
"2024- 01- 18","2,435","2,490","2,490","2,420","1.48M","-2.21%"
"2024- 01- 17","2,490","2,560","2,565","2,490","0.00K","-2.54%"
"2024- 01- 16","2,555","2,575","2,590","2,540","871.86K","-1.73%"
"2024- 01- 15","2,600","2,535","2,610","2,535","833.49K","1.96%"
"2024- 01- 14","2,550","2,550","2,550","2,550","","0.00%"
"2024- 01- 12","2,550","2,540","2,605","2,525","1.50M","0.79%"
"2024- 01- 11","2,530","2,535","2,560","2,515","1.18M","0.80%"
"2024- 01- 10","2,510","2,550","2,550","2,500","982.99K","-1.57%"
"2024- 01- 09","2,550","2,550","2,565","2,525","988.11K","1.19%"
"2024- 01- 08","2,520","2,575","2,585","2,510","1.54M","-2.14%"
"2024- 01- 07","2,575","2,575","2,575","2,575","","0.00%"
"2024- 01- 05","2,575","2,625","2,635","2,570","1.51M","-1.90%"
"2024- 01- 04","2,625","2,660","2,670","2,620","0.05K","-1.87%"
"2024- 01- 03","2,675","2,745","2,745","2,675","0.00K","-2.90%"
"2024- 01- 02","2,755","2,830","2,830","2,735","0.20K","-2.65%"
