"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","3,385","3,400","3,425","3,375","796.52K","0.00%"
"2024- 04- 29","3,385","3,345","3,385","3,300","652.53K","1.20%"
"2024- 04- 26","3,345","3,335","3,370","3,290","758.22K","0.30%"
"2024- 04- 25","3,335","3,335","3,365","3,300","857.05K","-2.06%"
"2024- 04- 24","3,405","3,370","3,425","3,370","801.48K","1.34%"
"2024- 04- 23","3,360","3,485","3,510","3,360","1.48M","-2.18%"
"2024- 04- 22","3,435","3,365","3,435","3,340","1.35M","2.84%"
"2024- 04- 19","3,340","3,440","3,450","3,260","1.95M","-2.20%"
"2024- 04- 18","3,415","3,310","3,455","3,260","1.41M","0.44%"
"2024- 04- 17","3,400","3,405","3,460","3,380","1.53M","0.74%"
"2024- 04- 16","3,375","3,565","3,570","3,335","2.25M","-8.78%"
"2024- 04- 15","3,700","3,645","3,700","3,530","1.87M","-1.33%"
"2024- 04- 12","3,750","3,645","3,785","3,585","1.94M","2.74%"
"2024- 04- 11","3,650","3,635","3,695","3,615","823.95K","-0.41%"
"2024- 04- 09","3,665","3,735","3,735","3,635","1.97M","1.24%"
"2024- 04- 08","3,620","3,570","3,625","3,535","789.19K","1.83%"
"2024- 04- 05","3,555","3,610","3,690","3,495","1.47M","-0.28%"
"2024- 04- 04","3,565","3,615","3,660","3,565","1.11M","-1.38%"
"2024- 04- 03","3,615","3,660","3,700","3,575","1.51M","-2.17%"
"2024- 04- 02","3,695","3,825","3,830","3,685","2.09M","-3.90%"
"2024- 04- 01","3,845","3,880","3,925","3,805","1.15M","0.13%"
"2024- 03- 29","3,840","4,025","4,060","3,835","2.19M","-4.00%"
"2024- 03- 28","4,000","4,015","4,045","3,965","1.32M","-0.99%"
"2024- 03- 27","4,040","4,100","4,130","4,020","1.36M","-1.70%"
"2024- 03- 26","4,110","4,115","4,185","4,015","2.71M","3.14%"
"2024- 03- 25","3,985","4,015","4,020","3,940","1.22M","0.38%"
"2024- 03- 22","3,970","4,000","4,045","3,935","1.95M","-2.82%"
"2024- 03- 21","4,085","3,985","4,120","3,960","5.08M","7.36%"
"2024- 03- 20","3,805","3,840","3,900","3,735","3.47M","-2.93%"
"2024- 03- 19","3,920","4,040","4,070","3,900","2.87M","-4.16%"
"2024- 03- 18","4,090","4,105","4,150","4,015","2.67M","0.74%"
"2024- 03- 17","4,060","4,060","4,060","4,060","","0.00%"
"2024- 03- 15","4,060","4,310","4,365","4,040","0.23K","-9.17%"
"2024- 03- 14","4,470","4,630","4,640","4,470","0.05K","-2.61%"
"2024- 03- 13","4,590","4,465","4,590","4,445","0.19K","1.66%"
"2024- 03- 12","4,515","4,815","4,895","4,500","20.68K","0.11%"
"2024- 03- 11","4,510","4,660","4,740","4,485","4.24M","-0.55%"
"2024- 03- 10","4,535","4,535","4,535","4,535","","0.00%"
"2024- 03- 08","4,535","4,360","4,550","4,355","4.84M","3.54%"
"2024- 03- 07","4,380","4,460","4,550","4,365","5.01M","-1.57%"
"2024- 03- 06","4,450","4,570","4,575","4,310","10.89M","-6.90%"
"2024- 03- 05","4,780","4,855","5,330","4,600","63.38M","6.82%"
"2024- 03- 04","4,475","4,390","4,605","4,360","5.12M","0.56%"
"2024- 03- 03","4,450","4,450","4,450","4,450","","0.00%"
"2024- 02- 29","4,450","4,775","4,930","4,430","23.67M","3.49%"
"2024- 02- 28","4,300","4,385","4,505","4,265","5.83M","0.70%"
"2024- 02- 27","4,270","4,410","4,505","4,230","0.07K","5.69%"
"2024- 02- 26","4,040","4,140","4,155","4,040","0.00K","-1.70%"
"2024- 02- 25","4,110","4,110","4,110","4,110","","0.00%"
"2024- 02- 23","4,110","4,220","4,235","4,075","3.49M","-3.52%"
"2024- 02- 22","4,260","4,445","4,445","4,260","5.16K","-3.84%"
"2024- 02- 21","4,430","4,460","4,550","4,420","4.29M","-0.45%"
"2024- 02- 20","4,450","4,675","4,700","4,420","14.89K","-2.31%"
"2024- 02- 19","4,555","4,470","4,590","4,335","0.30K","2.13%"
"2024- 02- 18","4,460","4,460","4,460","4,460","","0.00%"
"2024- 02- 16","4,460","4,510","4,600","4,375","10.70M","-2.09%"
"2024- 02- 15","4,555","4,135","4,980","4,080","71.62K","15.17%"
"2024- 02- 14","3,955","4,000","4,060","3,900","2.78M","-2.10%"
"2024- 02- 13","4,040","4,240","4,240","3,975","0.62K","4.66%"
"2024- 02- 12","3,860","3,860","3,860","3,860","","0.00%"
"2024- 02- 08","3,860","3,855","3,945","3,820","3.13M","2.66%"
"2024- 02- 07","3,760","3,810","3,830","3,715","1.60M","-0.13%"
"2024- 02- 06","3,765","3,815","3,890","3,740","1.82M","-2.46%"
"2024- 02- 05","3,860","3,905","3,945","3,770","1.61K","-2.03%"
"2024- 02- 04","3,940","3,940","3,940","3,940","","0.00%"
"2024- 02- 02","3,940","3,965","4,045","3,850","5.29M","2.34%"
"2024- 02- 01","3,850","3,685","3,960","3,650","5.56M","3.22%"
"2024- 01- 31","3,730","3,880","3,940","3,705","1.15K","-4.85%"
"2024- 01- 30","3,920","3,995","4,110","3,850","17.46K","1.69%"
"2024- 01- 29","3,855","3,710","3,900","3,610","5.66K","5.33%"
"2024- 01- 28","3,660","3,660","3,660","3,660","","0.00%"
"2024- 01- 26","3,660","3,500","3,675","3,470","3.24M","3.98%"
"2024- 01- 25","3,520","3,620","3,625","3,520","2.28K","-0.85%"
"2024- 01- 24","3,550","3,515","3,600","3,485","2.30M","0.14%"
"2024- 01- 23","3,545","3,395","3,560","3,380","1.10K","2.46%"
"2024- 01- 22","3,460","3,515","3,555","3,440","16.31K","-1.84%"
"2024- 01- 21","3,525","3,525","3,525","3,525","","0.00%"
"2024- 01- 19","3,525","3,615","3,695","3,505","4.93M","-5.62%"
"2024- 01- 18","3,735","3,505","3,735","3,450","19.37K","6.11%"
"2024- 01- 17","3,520","3,465","3,580","3,400","2.64K","1.44%"
"2024- 01- 16","3,470","3,560","3,610","3,465","12.62K","-3.74%"
"2024- 01- 15","3,605","3,590","3,660","3,465","6.48K","-3.74%"
"2024- 01- 14","3,745","3,745","3,745","3,745","","0.00%"
"2024- 01- 12","3,745","4,160","4,225","3,705","31.36M","-14.89%"
"2024- 01- 11","4,400","4,020","4,400","3,930","833.79K","29.99%"
"2024- 01- 10","3,385","3,260","3,620","3,205","0.01K","1.80%"
"2024- 01- 09","3,325","3,345","3,410","3,225","1.22K","5.72%"
"2024- 01- 08","3,145","3,145","3,175","3,070","1.40M","-0.94%"
"2024- 01- 07","3,175","3,175","3,175","3,175","","0.00%"
"2024- 01- 05","3,175","3,240","3,260","3,130","1.69M","-0.31%"
"2024- 01- 04","3,185","3,230","3,265","3,170","0.02K","-3.78%"
"2024- 01- 03","3,310","3,515","3,515","3,310","0.01K","-6.63%"
"2024- 01- 02","3,545","3,590","3,690","3,495","6.59M","1.87%"
