"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,795","3,790","3,800","3,775","15.68K","-0.13%"
"2024- 05- 07","3,800","3,785","3,845","3,765","59.87K","0.40%"
"2024- 05- 03","3,785","3,810","3,810","3,765","28.06K","-0.13%"
"2024- 05- 02","3,790","3,780","3,820","3,750","34.69K","0.26%"
"2024- 04- 30","3,780","3,780","3,820","3,770","22.56K","-0.40%"
"2024- 04- 29","3,795","3,800","3,820","3,780","20.38K","0.26%"
"2024- 04- 26","3,785","3,845","3,845","3,760","31.59K","-0.66%"
"2024- 04- 25","3,810","3,840","3,850","3,805","31.84K","-1.04%"
"2024- 04- 24","3,850","3,805","3,850","3,805","41.30K","0.65%"
"2024- 04- 23","3,825","3,825","3,830","3,795","37.88K","0.92%"
"2024- 04- 22","3,790","3,765","3,800","3,740","29.19K","0.80%"
"2024- 04- 19","3,760","3,790","3,795","3,715","36.87K","-0.92%"
"2024- 04- 18","3,795","3,725","3,800","3,725","29.43K","1.20%"
"2024- 04- 17","3,750","3,800","3,795","3,720","31.78K","1.21%"
"2024- 04- 16","3,705","3,750","3,800","3,700","82.17K","-1.98%"
"2024- 04- 15","3,780","3,755","3,790","3,720","37.99K","-0.26%"
"2024- 04- 12","3,790","3,820","3,820","3,770","21.70K","0.13%"
"2024- 04- 11","3,785","3,770","3,810","3,740","27.82K","-0.13%"
"2024- 04- 09","3,790","3,810","3,825","3,780","32.97K","0.00%"
"2024- 04- 08","3,790","3,785","3,810","3,770","26.59K","-0.39%"
"2024- 04- 05","3,805","3,805","3,830","3,785","34.66K","-0.78%"
"2024- 04- 04","3,835","3,840","3,870","3,810","27.76K","-0.13%"
"2024- 04- 03","3,840","3,870","3,880","3,815","35.98K","-0.78%"
"2024- 04- 02","3,870","3,930","3,930","3,830","76.92K","-1.02%"
"2024- 04- 01","3,910","3,870","3,920","3,870","43.53K","1.03%"
"2024- 03- 29","3,870","3,935","4,055","3,830","435.58K","-0.90%"
"2024- 03- 28","3,905","3,900","3,925","3,890","37.22K","-0.26%"
"2024- 03- 27","3,915","3,940","3,995","3,870","79.69K","-0.13%"
"2024- 03- 26","3,920","3,940","3,945","3,890","49.19K","-0.51%"
"2024- 03- 25","3,940","3,960","3,995","3,910","104.54K","0.00%"
"2024- 03- 22","3,940","3,930","3,960","3,890","61.16K","0.00%"
"2024- 03- 21","3,940","3,930","3,950","3,895","99.16K","0.25%"
"2024- 03- 20","3,930","3,875","3,955","3,850","124.10K","2.08%"
"2024- 03- 19","3,850","3,830","3,850","3,825","41.01K","0.13%"
"2024- 03- 18","3,845","3,870","3,885","3,830","88.23K","-0.39%"
"2024- 03- 15","3,860","3,875","3,875","3,825","43.82K","-0.13%"
"2024- 03- 14","3,865","3,810","3,895","3,785","0.00K","1.84%"
"2024- 03- 13","3,795","3,810","3,820","3,775","29.80K","-0.13%"
"2024- 03- 12","3,800","3,810","3,835","3,795","27.39K","-0.52%"
"2024- 03- 11","3,820","3,780","3,850","3,780","50.51K","0.39%"
"2024- 03- 08","3,805","3,800","3,805","3,770","37.43K","0.53%"
"2024- 03- 07","3,785","3,835","3,845","3,745","73.41K","-1.05%"
"2024- 03- 06","3,825","3,850","4,005","3,820","262.76K","1.19%"
"2024- 03- 05","3,780","3,795","3,800","3,770","56.56K","-0.79%"
"2024- 03- 04","3,810","3,845","3,845","3,790","66.06K","-0.13%"
"2024- 02- 29","3,815","3,805","3,850","3,805","37.21K","-0.52%"
"2024- 02- 28","3,835","3,850","3,860","3,805","38.28K","-0.39%"
"2024- 02- 27","3,850","3,895","3,900","3,845","0.05K","-1.16%"
"2024- 02- 26","3,895","3,935","3,940","3,880","46.79K","-1.02%"
"2024- 02- 23","3,935","3,895","3,950","3,885","64.09K","0.77%"
"2024- 02- 22","3,905","3,915","3,920","3,875","55.67K","0.00%"
"2024- 02- 21","3,905","3,930","3,960","3,880","91.46K","-1.01%"
"2024- 02- 20","3,945","3,935","3,980","3,920","59.04K","0.38%"
"2024- 02- 19","3,930","3,875","3,930","3,875","63.49K","1.03%"
"2024- 02- 18","3,890","3,890","3,890","3,890","","0.00%"
"2024- 02- 16","3,890","3,880","3,905","3,850","65.42K","0.65%"
"2024- 02- 15","3,865","3,875","3,885","3,845","55.64K","0.00%"
"2024- 02- 14","3,865","3,835","3,865","3,810","32.07K","0.65%"
"2024- 02- 13","3,840","3,840","3,860","3,820","62.23K","0.00%"
"2024- 02- 08","3,840","3,835","3,865","3,815","34.96K","-0.26%"
"2024- 02- 07","3,850","3,860","3,860","3,820","35.79K","0.13%"
"2024- 02- 06","3,845","3,855","3,860","3,790","70.09K","-0.26%"
"2024- 02- 05","3,855","3,845","3,870","3,830","44.78K","0.00%"
"2024- 02- 02","3,855","3,820","3,865","3,820","74.01K","0.78%"
"2024- 02- 01","3,825","3,830","3,845","3,785","48.62K","0.66%"
"2024- 01- 31","3,800","3,850","3,850","3,770","47.37K","-1.30%"
"2024- 01- 30","3,850","3,865","3,865","3,825","36.02K","0.00%"
"2024- 01- 29","3,850","3,830","3,860","3,800","79.21K","0.52%"
"2024- 01- 26","3,830","3,810","3,860","3,800","25.97K","0.13%"
"2024- 01- 25","3,825","3,800","3,835","3,755","41.03K","0.66%"
"2024- 01- 24","3,800","3,815","3,845","3,740","50.37K","-0.39%"
"2024- 01- 23","3,815","3,825","3,855","3,795","42.94K","-0.26%"
"2024- 01- 22","3,825","3,850","3,865","3,805","49.97K","-0.52%"
"2024- 01- 19","3,845","3,870","3,890","3,835","51.15K","0.00%"
"2024- 01- 18","3,845","3,785","3,865","3,785","55.43K","1.59%"
"2024- 01- 17","3,785","3,940","3,945","3,780","116.11K","-3.44%"
"2024- 01- 16","3,920","3,925","3,950","3,855","47.19K","-0.13%"
"2024- 01- 15","3,925","3,905","3,945","3,850","39.17K","0.51%"
"2024- 01- 12","3,905","4,000","4,005","3,900","112.20K","-2.62%"
"2024- 01- 11","4,010","4,115","4,115","3,950","0.93K","-2.08%"
"2024- 01- 10","4,095","4,100","4,120","4,035","55.38K","0.49%"
"2024- 01- 09","4,075","4,005","4,100","4,005","56.14K","1.24%"
"2024- 01- 08","4,025","4,040","4,065","3,975","52.76K","0.37%"
"2024- 01- 05","4,010","4,050","4,100","4,000","72.41K","-0.99%"
"2024- 01- 04","4,050","4,140","4,160","4,015","119.84K","-2.17%"
"2024- 01- 03","4,140","4,100","4,280","4,075","332.76K","0.98%"
"2024- 01- 02","4,100","4,045","4,150","4,045","164.24K","-0.24%"
