"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","8,810","8,870","8,870","8,770","19.42K","0.34%"
"2024- 05- 03","8,780","8,880","8,880","8,750","22.27K","-0.34%"
"2024- 05- 02","8,810","8,880","8,880","8,780","7.65K","-1.01%"
"2024- 04- 30","8,900","8,860","8,900","8,820","13.81K","0.45%"
"2024- 04- 29","8,860","8,770","8,920","8,750","33.27K","1.14%"
"2024- 04- 26","8,760","8,700","8,780","8,610","29.93K","1.39%"
"2024- 04- 25","8,640","8,630","8,790","8,580","33.76K","-0.58%"
"2024- 04- 24","8,690","8,740","8,750","8,640","18.77K","0.12%"
"2024- 04- 23","8,680","8,630","8,720","8,630","21.48K","0.35%"
"2024- 04- 22","8,650","8,470","8,670","8,470","32.23K","2.13%"
"2024- 04- 19","8,470","8,480","8,500","8,350","33.08K","0.00%"
"2024- 04- 18","8,470","8,420","8,500","8,420","9.00K","0.59%"
"2024- 04- 17","8,420","8,450","8,540","8,400","16.08K","-0.36%"
"2024- 04- 16","8,450","8,460","8,580","8,400","22.71K","-1.17%"
"2024- 04- 15","8,550","8,500","8,570","8,400","25.14K","0.35%"
"2024- 04- 12","8,520","8,630","8,630","8,470","52.82K","-1.16%"
"2024- 04- 11","8,620","8,800","8,800","8,620","42.76K","-2.05%"
"2024- 04- 09","8,800","8,830","8,880","8,800","26.50K","-0.34%"
"2024- 04- 08","8,830","8,770","8,850","8,770","18.27K","0.00%"
"2024- 04- 05","8,830","8,750","8,940","8,750","15.96K","-0.23%"
"2024- 04- 04","8,850","8,850","8,900","8,830","19.80K","0.11%"
"2024- 04- 03","8,840","8,840","8,840","8,750","36.70K","-0.11%"
"2024- 04- 02","8,850","8,880","8,880","8,770","20.54K","0.23%"
"2024- 04- 01","8,830","8,930","8,930","8,780","77.30K","-1.12%"
"2024- 03- 29","8,930","9,070","9,090","8,930","32.83K","-0.56%"
"2024- 03- 28","8,980","9,090","9,150","8,980","49.91K","-3.13%"
"2024- 03- 27","9,270","9,350","9,400","9,260","49.24K","-0.96%"
"2024- 03- 26","9,360","9,400","9,450","9,350","63.96K","-0.43%"
"2024- 03- 25","9,400","9,420","9,620","9,330","45.32K","-0.21%"
"2024- 03- 22","9,420","9,510","9,510","9,400","33.94K","-0.95%"
"2024- 03- 21","9,510","9,440","9,540","9,320","69.12K","1.82%"
"2024- 03- 20","9,340","9,370","9,450","9,260","52.61K","-0.32%"
"2024- 03- 19","9,370","9,460","9,480","9,350","36.84K","-0.95%"
"2024- 03- 18","9,460","9,560","9,570","9,320","46.94K","-0.94%"
"2024- 03- 15","9,550","9,510","9,630","9,490","43.17K","0.42%"
"2024- 03- 14","9,510","9,370","9,530","9,350","65.11K","1.39%"
"2024- 03- 13","9,380","9,290","9,470","9,120","56.58K","0.97%"
"2024- 03- 12","9,290","9,300","9,410","9,230","28.21K","-0.11%"
"2024- 03- 11","9,300","9,490","9,490","9,210","80.80K","-2.00%"
"2024- 03- 08","9,490","9,540","9,540","9,410","33.62K","-0.21%"
"2024- 03- 07","9,510","9,640","9,640","9,440","58.24K","-0.42%"
"2024- 03- 06","9,550","9,470","9,560","9,400","54.99K","0.53%"
"2024- 03- 05","9,500","9,480","9,650","9,420","60.85K","0.21%"
"2024- 03- 04","9,480","9,250","9,500","9,220","49.85K","2.49%"
"2024- 02- 29","9,250","9,220","9,290","9,140","64.11K","0.33%"
"2024- 02- 28","9,220","9,120","9,250","9,100","24.68K","0.66%"
"2024- 02- 27","9,160","9,110","9,250","9,100","53.48K","-0.43%"
"2024- 02- 26","9,200","9,520","9,580","9,190","91.48K","-4.07%"
"2024- 02- 23","9,590","9,610","9,690","9,520","72.85K","-0.42%"
"2024- 02- 22","9,630","9,700","9,700","9,520","20.49K","0.21%"
"2024- 02- 21","9,610","9,560","9,750","9,500","46.06K","0.52%"
"2024- 02- 20","9,560","9,640","9,680","9,450","59.32K","-1.14%"
"2024- 02- 19","9,670","9,470","9,800","9,440","116.31K","2.00%"
"2024- 02- 16","9,480","9,290","9,490","9,270","79.46K","2.05%"
"2024- 02- 15","9,290","9,550","9,550","9,290","46.48K","-1.17%"
"2024- 02- 14","9,400","9,510","9,530","9,340","0.00K","-1.98%"
"2024- 02- 13","9,590","9,270","9,590","9,270","186.11K","3.68%"
"2024- 02- 12","9,250","9,250","9,250","9,250","","0.00%"
"2024- 02- 08","9,250","9,210","9,290","9,180","56.15K","0.43%"
"2024- 02- 07","9,210","9,050","9,240","9,000","111.42K","1.32%"
"2024- 02- 06","9,090","9,150","9,210","9,020","64.13K","-0.66%"
"2024- 02- 05","9,150","9,140","9,200","8,950","0.00K","0.11%"
"2024- 02- 02","9,140","9,120","9,230","8,930","150.43K","0.44%"
"2024- 02- 01","9,100","8,690","9,190","8,650","238.21K","4.72%"
"2024- 01- 31","8,690","8,520","8,720","8,470","60.51K","2.12%"
"2024- 01- 30","8,510","8,510","8,590","8,500","41.60K","0.00%"
"2024- 01- 29","8,510","8,390","8,540","8,330","44.57K","1.92%"
"2024- 01- 26","8,350","8,300","8,400","8,290","23.95K","0.12%"
"2024- 01- 25","8,340","8,350","8,350","8,270","14.02K","0.48%"
"2024- 01- 24","8,300","8,390","8,390","8,300","13.74K","-0.24%"
"2024- 01- 23","8,320","8,290","8,340","8,280","9.23K","0.36%"
"2024- 01- 22","8,290","8,300","8,350","8,250","16.31K","-0.12%"
"2024- 01- 19","8,300","8,360","8,470","8,280","22.72K","0.24%"
"2024- 01- 18","8,280","8,270","8,360","8,240","16.37K","0.24%"
"2024- 01- 17","8,260","8,370","8,370","8,240","29.95K","-1.31%"
"2024- 01- 16","8,370","8,450","8,450","8,340","23.73K","-0.83%"
"2024- 01- 15","8,440","8,460","8,480","8,400","16.74K","-0.47%"
"2024- 01- 12","8,480","8,430","8,560","8,340","58.61K","0.59%"
"2024- 01- 11","8,430","8,320","8,520","8,320","34.59K","1.44%"
"2024- 01- 10","8,310","8,300","8,330","8,290","7.71K","0.12%"
"2024- 01- 09","8,300","8,330","8,330","8,290","8.74K","0.24%"
"2024- 01- 08","8,280","8,260","8,350","8,260","22.09K","-0.48%"
"2024- 01- 05","8,320","8,380","8,390","8,300","23.09K","-0.83%"
"2024- 01- 04","8,390","8,360","8,470","8,360","27.91K","-0.71%"
"2024- 01- 03","8,450","8,540","8,540","8,440","27.92K","-1.05%"
"2024- 01- 02","8,540","8,520","8,550","8,480","36.08K","-0.58%"
