"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,725","4,810","4,810","4,700","10.72K","-1.05%"
"2024- 05- 07","4,775","4,790","4,840","4,745","20.03K","-0.31%"
"2024- 05- 03","4,790","4,720","4,795","4,720","15.11K","0.95%"
"2024- 05- 02","4,745","4,855","4,855","4,720","55.64K","-2.27%"
"2024- 04- 30","4,855","4,655","4,855","4,640","53.35K","4.75%"
"2024- 04- 29","4,635","4,620","4,705","4,610","23.23K","0.32%"
"2024- 04- 26","4,620","4,660","4,690","4,570","22.45K","-0.86%"
"2024- 04- 25","4,660","4,750","4,765","4,610","31.58K","-0.64%"
"2024- 04- 24","4,690","4,645","4,750","4,615","25.64K","1.08%"
"2024- 04- 23","4,640","4,605","4,705","4,565","22.21K","2.43%"
"2024- 04- 22","4,530","4,540","4,565","4,500","17.75K","-1.31%"
"2024- 04- 19","4,590","4,660","4,685","4,435","27.94K","-1.08%"
"2024- 04- 18","4,640","4,410","4,640","4,410","27.24K","5.33%"
"2024- 04- 17","4,405","4,455","4,545","4,395","17.95K","-1.23%"
"2024- 04- 16","4,460","4,590","4,590","4,430","31.84K","-2.83%"
"2024- 04- 15","4,590","4,600","4,690","4,360","45.05K","-0.22%"
"2024- 04- 12","4,600","4,735","4,755","4,600","25.64K","-2.54%"
"2024- 04- 11","4,720","4,630","4,720","4,630","16.89K","0.43%"
"2024- 04- 09","4,700","4,550","4,730","4,550","44.42K","1.95%"
"2024- 04- 08","4,610","4,575","4,620","4,470","32.88K","-0.22%"
"2024- 04- 05","4,620","4,595","4,670","4,465","51.08K","-0.43%"
"2024- 04- 04","4,640","4,735","4,755","4,570","41.70K","-2.01%"
"2024- 04- 03","4,735","4,660","4,770","4,500","82.83K","1.18%"
"2024- 04- 02","4,680","4,700","4,720","4,555","79.12K","1.74%"
"2024- 04- 01","4,600","4,540","4,670","4,490","111.56K","3.25%"
"2024- 03- 29","4,455","4,360","4,560","4,360","115.76K","2.18%"
"2024- 03- 28","4,360","4,325","4,375","4,280","18.42K","0.35%"
"2024- 03- 27","4,345","4,370","4,410","4,320","17.14K","-0.80%"
