"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","34,850","34,650","35,450","34,550","8.95K","-0.29%"
"2024- 05- 07","34,950","34,950","35,150","34,750","9.11K","0.00%"
"2024- 05- 03","34,950","34,650","35,300","34,650","9.54K","0.58%"
"2024- 05- 02","34,750","34,150","35,100","34,150","13.67K","0.72%"
"2024- 04- 30","34,500","34,350","34,850","34,150","7.86K","0.58%"
"2024- 04- 29","34,300","34,550","34,700","34,250","8.44K","-0.15%"
"2024- 04- 26","34,350","34,150","34,600","34,100","7.49K","0.29%"
"2024- 04- 25","34,250","34,050","34,400","33,900","8.58K","-0.44%"
"2024- 04- 24","34,400","34,500","34,650","34,200","11.69K","0.29%"
"2024- 04- 23","34,300","34,450","34,450","34,050","6.67K","-0.29%"
"2024- 04- 22","34,400","33,850","34,400","33,850","9.07K","1.93%"
"2024- 04- 19","33,750","33,700","34,050","33,100","22.03K","-0.30%"
"2024- 04- 18","33,850","33,550","34,450","33,550","15.06K","0.89%"
"2024- 04- 17","33,550","33,000","34,150","33,000","15.80K","0.75%"
"2024- 04- 16","33,300","33,850","33,900","32,850","47.57K","-2.92%"
"2024- 04- 15","34,300","35,100","35,150","33,500","66.73K","-2.42%"
"2024- 04- 12","35,150","35,350","35,650","35,150","16.03K","-0.57%"
"2024- 04- 11","35,350","35,600","35,800","35,150","14.00K","-0.98%"
"2024- 04- 09","35,700","35,500","36,250","35,250","23.17K","-0.42%"
"2024- 04- 08","35,850","36,000","36,150","35,450","28.40K","-0.55%"
"2024- 04- 05","36,050","35,250","36,100","35,050","27.88K","1.12%"
"2024- 04- 04","35,650","35,650","35,950","35,350","14.05K","-0.14%"
"2024- 04- 03","35,700","35,500","35,750","34,900","27.17K","0.42%"
"2024- 04- 02","35,550","35,900","35,950","35,250","28.40K","-0.97%"
"2024- 04- 01","35,900","35,150","36,150","34,800","27.59K","2.13%"
"2024- 03- 29","35,150","35,400","35,750","34,900","23.96K","-0.85%"
"2024- 03- 28","35,450","35,800","36,200","35,450","23.79K","-0.56%"
"2024- 03- 27","35,650","35,350","35,900","35,350","15.79K","-0.14%"
"2024- 03- 26","35,700","35,550","35,800","35,300","21.96K","0.42%"
"2024- 03- 25","35,550","35,150","35,800","34,900","40.06K","1.28%"
"2024- 03- 22","35,100","34,600","35,350","34,600","22.03K","1.45%"
"2024- 03- 21","34,600","34,650","34,800","34,400","16.82K","0.14%"
"2024- 03- 20","34,550","34,500","34,850","34,200","13.99K","0.44%"
"2024- 03- 19","34,400","34,650","34,800","34,350","19.78K","-0.72%"
"2024- 03- 18","34,650","34,600","34,850","34,350","25.42K","0.00%"
"2024- 03- 15","34,650","34,600","35,000","34,400","2.43K","-0.43%"
"2024- 03- 14","34,800","35,000","35,400","34,650","18.12K","-1.00%"
"2024- 03- 13","35,150","34,950","35,150","34,700","0.01K","1.01%"
"2024- 03- 12","34,800","34,950","34,950","34,550","13.42K","-0.29%"
"2024- 03- 11","34,900","34,500","35,350","34,450","0.00K","1.01%"
"2024- 03- 08","34,550","34,500","34,700","34,100","21.97K","0.44%"
"2024- 03- 07","34,400","36,000","36,000","34,300","70.03K","-4.18%"
"2024- 03- 06","35,900","36,000","36,450","35,450","21.07K","-0.83%"
"2024- 03- 05","36,200","36,200","36,450","36,000","15.88K","0.14%"
"2024- 03- 04","36,150","36,850","36,850","36,000","17.17K","-0.55%"
"2024- 02- 29","36,350","36,300","37,300","36,200","21.14K","-0.14%"
"2024- 02- 28","36,400","36,300","36,750","35,900","34.32K","0.41%"
"2024- 02- 27","36,250","37,450","37,450","36,250","21.16K","-2.42%"
"2024- 02- 26","37,150","37,950","37,950","37,150","22.58K","-1.46%"
"2024- 02- 25","37,700","37,700","37,700","37,700","","0.00%"
"2024- 02- 23","37,700","37,450","38,200","36,950","34.00K","1.75%"
"2024- 02- 22","37,050","37,000","37,600","36,700","27.21K","0.54%"
"2024- 02- 21","36,850","37,250","37,550","36,850","32.37K","-0.54%"
"2024- 02- 20","37,050","37,200","37,800","36,950","23.76K","-1.20%"
"2024- 02- 19","37,500","37,800","38,150","37,200","29.59K","-0.79%"
"2024- 02- 16","37,800","38,350","38,450","36,850","77.11K","-1.31%"
"2024- 02- 15","38,300","38,750","38,750","37,500","55.19K","-1.16%"
"2024- 02- 14","38,750","35,200","38,800","34,850","170.51K","9.77%"
"2024- 02- 13","35,300","34,650","35,300","34,400","26.28K","2.17%"
"2024- 02- 08","34,550","34,750","34,750","34,300","21.39K","0.00%"
"2024- 02- 07","34,550","34,650","34,800","34,300","21.73K","-0.43%"
"2024- 02- 06","34,700","35,100","35,300","34,550","24.14K","-0.72%"
"2024- 02- 05","34,950","35,150","35,300","34,800","33.33K","-0.43%"
"2024- 02- 04","35,100","35,100","35,100","35,100","","0.00%"
"2024- 02- 02","35,100","35,250","35,800","34,750","47.47K","0.00%"
"2024- 02- 01","35,100","34,550","35,300","33,750","53.26K","1.74%"
"2024- 01- 31","34,500","34,600","34,750","34,100","0.00K","-0.14%"
"2024- 01- 30","34,550","34,700","34,900","34,400","19.76K","0.44%"
"2024- 01- 29","34,400","35,500","35,500","34,050","39.87K","-1.99%"
"2024- 01- 26","35,100","34,850","35,300","34,700","21.54K","0.43%"
"2024- 01- 25","34,950","37,200","37,200","34,850","132.27K","-6.05%"
"2024- 01- 24","37,200","37,750","37,750","36,950","22.60K","-0.93%"
"2024- 01- 23","37,550","37,350","37,700","37,050","16.25K","0.54%"
"2024- 01- 22","37,350","37,350","37,600","36,900","25.45K","0.67%"
"2024- 01- 19","37,100","37,600","38,000","37,000","27.23K","-0.93%"
"2024- 01- 18","37,450","38,550","39,050","37,350","53.88K","-2.98%"
"2024- 01- 17","38,600","39,550","39,650","38,600","0.00K","-2.28%"
"2024- 01- 16","39,500","39,300","40,150","38,900","29.47K","1.41%"
"2024- 01- 15","38,950","38,600","39,400","38,500","21.46K","1.17%"
"2024- 01- 12","38,500","39,250","39,750","38,450","26.82K","-2.41%"
"2024- 01- 11","39,450","40,100","40,350","39,150","40.99K","-1.62%"
"2024- 01- 10","40,100","38,800","40,200","38,400","79.15K","3.62%"
"2024- 01- 09","38,700","38,600","38,800","38,300","0.01K","0.26%"
"2024- 01- 08","38,600","38,050","38,700","37,650","42.00K","1.45%"
"2024- 01- 05","38,050","38,200","38,600","37,750","24.92K","0.40%"
