"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","201,000","201,500","204,000","198,600","26.20K","1.16%"
"2024- 05- 07","198,700","206,000","206,000","197,000","42.83K","-1.14%"
"2024- 05- 03","201,000","208,000","208,000","199,700","41.28K","-2.19%"
"2024- 05- 02","205,500","210,500","213,000","205,000","40.94K","-2.84%"
"2024- 04- 30","211,500","219,000","231,000","208,500","79.22K","-4.30%"
"2024- 04- 29","221,000","210,500","223,000","208,500","88.98K","6.25%"
"2024- 04- 26","208,000","206,500","209,000","203,000","34.89K","0.73%"
"2024- 04- 25","206,500","208,000","213,500","206,000","38.16K","-0.72%"
"2024- 04- 24","208,000","208,000","211,500","206,500","35.06K","0.97%"
"2024- 04- 23","206,000","208,000","210,500","206,000","34.83K","-1.44%"
"2024- 04- 22","209,000","204,000","210,000","204,000","51.58K","3.21%"
"2024- 04- 19","202,500","199,900","203,500","198,100","42.84K","1.30%"
"2024- 04- 18","199,900","201,000","206,500","199,000","36.71K","0.30%"
"2024- 04- 17","199,300","201,500","202,500","197,700","31.83K","-0.35%"
"2024- 04- 16","200,000","205,500","207,500","199,900","40.22K","-2.68%"
"2024- 04- 15","205,500","197,900","209,000","195,700","67.65K","4.05%"
"2024- 04- 12","197,500","193,400","200,500","193,400","41.38K","2.23%"
"2024- 04- 11","193,200","194,200","199,400","192,600","40.39K","-0.57%"
"2024- 04- 09","194,300","204,000","205,000","194,300","60.22K","-4.75%"
"2024- 04- 08","204,000","199,900","204,500","197,100","38.03K","0.74%"
"2024- 04- 05","202,500","200,000","205,500","199,800","44.72K","0.75%"
"2024- 04- 04","201,000","204,500","207,000","200,500","45.14K","-0.50%"
"2024- 04- 03","202,000","193,300","207,500","192,600","75.02K","4.12%"
"2024- 04- 02","194,000","198,600","199,800","192,100","56.08K","-2.12%"
"2024- 04- 01","198,200","194,000","201,500","193,200","61.06K","3.72%"
"2024- 03- 29","191,100","193,600","194,600","191,000","27.64K","-1.04%"
"2024- 03- 28","193,100","195,800","203,000","193,100","67.88K","-1.53%"
"2024- 03- 27","196,100","183,500","198,900","182,200","72.04K","8.04%"
"2024- 03- 26","181,500","183,600","186,400","181,000","46.64K","-1.09%"
"2024- 03- 25","183,500","176,400","185,700","174,800","67.13K","3.61%"
"2024- 03- 22","177,100","176,200","179,000","175,900","29.76K","-0.45%"
"2024- 03- 21","177,900","183,900","183,900","172,300","67.64K","-2.25%"
"2024- 03- 20","182,000","182,700","184,800","180,500","30.34K","0.55%"
"2024- 03- 19","181,000","189,500","191,000","181,000","76.31K","-5.24%"
"2024- 03- 18","191,000","190,800","193,500","190,500","52.38K","-0.37%"
"2024- 03- 15","191,700","190,800","198,600","190,400","1.70K","-0.26%"
"2024- 03- 14","192,200","191,000","194,300","189,400","0.00K","0.05%"
"2024- 03- 13","192,100","193,100","196,400","192,100","52.74K","-0.36%"
"2024- 03- 12","192,800","192,500","194,900","192,100","34.78K","-0.82%"
"2024- 03- 11","194,400","198,000","199,100","193,100","60.77K","-0.82%"
"2024- 03- 10","196,000","196,000","196,000","196,000","","0.00%"
"2024- 03- 08","196,000","199,800","201,500","195,000","61.26K","-1.90%"
"2024- 03- 07","199,800","208,000","209,500","199,700","83.49K","-4.63%"
"2024- 03- 06","209,500","205,000","211,000","202,500","70.04K","1.95%"
"2024- 03- 05","205,500","201,000","209,000","198,100","0.03K","1.48%"
"2024- 03- 04","202,500","200,500","214,500","193,600","0.20K","10.11%"
"2024- 02- 29","183,900","184,100","187,000","181,200","77.83K","-1.08%"
"2024- 02- 28","185,900","183,800","187,300","182,100","35.86K","0.81%"
"2024- 02- 27","184,400","180,200","188,000","179,100","60.10K","2.33%"
"2024- 02- 26","180,200","182,500","187,000","179,200","59.04K","-1.21%"
"2024- 02- 23","182,400","181,000","187,600","180,100","53.01K","1.56%"
"2024- 02- 22","179,600","181,800","184,700","178,000","42.92K","-0.66%"
"2024- 02- 21","180,800","179,500","185,500","178,600","66.57K","-0.33%"
"2024- 02- 20","181,400","168,600","182,600","168,600","0.04K","8.69%"
"2024- 02- 19","166,900","170,900","171,800","165,900","25.18K","-2.34%"
"2024- 02- 18","170,900","170,900","170,900","170,900","","0.00%"
"2024- 02- 16","170,900","168,500","174,000","166,800","61.30K","1.24%"
"2024- 02- 15","168,800","162,900","173,500","161,600","107.88K","4.78%"
"2024- 02- 14","161,100","155,100","163,500","155,100","72.72K","5.64%"
"2024- 02- 13","152,500","150,300","152,500","147,100","0.20K","2.21%"
"2024- 02- 08","149,200","155,500","156,000","149,100","49.10K","-4.05%"
